feature_set,forward_window,regression_bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_price,fwd_12m_return,mid_cap,2302,10,-0.004849063539786425,0.14469647521136972,0.17785889076272715,0.2481862869238391,0.1393621531753301,0.6984815618221258,0.06339108748280829,0.1847951994410308
price_only,fwd_12m_return,mid_cap,2302,10,0.011659305294271283,0.16137497135247775,0.18730431979670714,0.29333644883426035,0.1908102656034886,0.7158351409978309,0.0655019615531971,0.22783448728106326
quality_growth_price,fwd_12m_return,mid_cap,2302,10,0.01665244003562849,0.1760804923241326,0.17889716698841782,0.22457874080399098,0.1572062788376416,0.6963123644251626,0.06262914103604816,0.16194959976794282
rich_fundamental,fwd_12m_return,mid_cap,2302,10,-0.02933739971448568,0.07133598815577262,0.05311088529896797,0.18340552648234257,0.115544392927867,0.6767895878524945,0.10928482059672197,0.0741207058856206
rich_fundamental_price,fwd_12m_return,mid_cap,2302,10,-0.012944992692387025,0.14528988100811746,0.15633267221413005,0.2476759205244569,0.1513611684854212,0.7093275488069414,0.06612171847827278,0.1815542020461841
financial_price,fwd_3m_return,all,5122,12,-0.05314079701294938,0.00046827446559736326,-0.013268820952925536,0.05629961305179613,0.0351913464807009,0.584390243902439,0.04294116525069449,0.013358447801101639
price_only,fwd_3m_return,all,5122,12,-0.024523945006410974,0.043945261734674015,0.02188390249852362,0.0670124793764076,0.0543142763917439,0.6302439024390244,0.036487160044881485,0.030525319331526114
quality_growth_price,fwd_3m_return,all,5122,12,-0.036969111667508825,0.05098405894711373,0.06279363798963467,0.06183890678201002,0.0521148545032035,0.6341463414634146,0.037407128873672556,0.024431777908337463
rich_fundamental,fwd_3m_return,all,5122,12,-0.07317107447972537,-0.037383215290198335,-0.04886053459603328,0.03668394146871879,0.0217359764723115,0.5639024390243902,0.043686157875359816,-0.007002216406641025
rich_fundamental_price,fwd_3m_return,all,5122,12,-0.09786186426031573,-0.0388918110070542,-0.033340986016189185,0.03817047378076725,0.0185766158853153,0.5492682926829269,0.04771433187691346,-0.009543858096146204
