observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,feature_set,transform,training_mode,test_year
204,1,-0.2856870712092445,0.1903858489646904,0.1367988069912574,0.22188878088856473,0.2039032907910694,0.7560975609756098,0.0959697751548675,0.12591900573369724,financial_plus_price,winsor_z,rolling_2y,2017
207,1,-0.709694737683241,-0.029497303477681598,-0.05312070439761449,0.1880223352351999,0.14186319151468715,0.6428571428571429,0.1835869144472682,0.004435420787931688,financial_plus_price,winsor_z,rolling_2y,2018
211,1,-0.3088317572852415,0.26120749519633574,0.2957013834774722,0.12284981845529935,0.1512366199455437,0.6744186046511628,-0.09526153730254609,0.21811135575784546,financial_plus_price,winsor_z,rolling_2y,2019
212,1,-0.4197340154653071,0.14648729325467094,0.17343729730614751,0.763706111230869,0.5064673799731993,0.9767441860465116,0.5630603207610171,0.20064579046985187,financial_plus_price,winsor_z,rolling_2y,2020
211,1,-0.38557745974318247,-0.07111939941609804,-0.11535877160485944,0.15782401206355723,0.1238196450124835,0.6744186046511628,0.2028898287982764,-0.04506581673471918,financial_plus_price,winsor_z,rolling_2y,2021
218,1,-4.3687836369168584,-0.1933233179701311,-0.05130745962312406,-0.028937884326504536,-0.02723444542055895,0.4090909090909091,-0.017770450296546305,-0.01116743402995823,financial_plus_price,winsor_z,rolling_2y,2022
224,1,-0.3640046773409795,-0.30352365506562184,-0.16216314328421952,0.2802738255634962,0.2394137479155713,0.8444444444444444,0.7576032335013891,-0.4773294079378929,financial_plus_price,winsor_z,rolling_2y,2023
224,1,-0.4305859150201403,-0.143408515783573,-0.12069186418962206,0.12454241100863198,0.0702316093190758,0.6888888888888889,0.30760877470226916,-0.18306636369363719,financial_plus_price,winsor_z,rolling_2y,2024
189,1,-0.11455644993840597,0.43028184930963503,0.27567855809737113,0.7307365802181103,0.4819098399793216,0.9473684210526315,0.19702569108624718,0.5337108891318632,financial_plus_price,winsor_z,rolling_2y,2025
201,1,-0.0736087166874142,0.1655410000590232,0.07492537313432836,0.39501984342636864,0.2515947786770753,0.8292682926829268,0.26976574935752345,0.1252540940688452,financial_plus_price,winsor_z,rolling_3y,2016
204,1,0.024209033953234926,0.24471603554552238,0.22391812906828,0.2696690087653653,0.2301725935050453,0.8292682926829268,0.10230446165458001,0.1673645471107853,financial_plus_price,winsor_z,rolling_3y,2017
207,1,-0.27272140439412307,0.0349085498400872,-0.04627885833035686,0.20388141958941977,0.14186319151468715,0.6428571428571429,0.18230170938363008,0.021579710205789693,financial_plus_price,winsor_z,rolling_3y,2018
211,1,-0.5320302760014406,0.3141131854361198,0.31480819100420276,0.08436946418164147,0.1641579876252561,0.6046511627906976,-0.15409591049545127,0.23846537467709272,financial_plus_price,winsor_z,rolling_3y,2019
212,1,-0.5627167260609776,0.011558102922301224,0.05258988429369024,0.828391665063391,0.7024686641779694,0.9534883720930233,0.8540723897207556,-0.025680724657364595,financial_plus_price,winsor_z,rolling_3y,2020
211,1,-0.2773677788323561,-0.16946383820359662,-0.20136303828515223,0.08641946041275066,0.0264984660672802,0.5813953488372093,0.25047275134726904,-0.16405329093451837,financial_plus_price,winsor_z,rolling_3y,2021
218,1,-3.0154279408007003,-0.2610768454052123,-0.15352392380936936,-0.09443569792490501,-0.07717557294463835,0.29545454545454547,0.05508829537747042,-0.14952399330237542,financial_plus_price,winsor_z,rolling_3y,2022
224,1,0.21433014531081662,0.4714964542048801,0.23159619901772371,0.9244741646286503,0.4934927481978024,0.8888888888888888,0.28636462662912676,0.6381095379995235,financial_plus_price,winsor_z,rolling_3y,2023
224,1,-0.10536945607158943,-0.004587619958392671,-0.08312299807815504,0.22535107222762096,0.1012638608818961,0.6888888888888889,0.24950462045847874,-0.024153548230857774,financial_plus_price,winsor_z,rolling_3y,2024
189,1,-0.06635291487348671,0.27346913239077186,0.212979256652269,0.4602976202710033,0.3579899321608536,0.8157894736842105,0.1626395985686535,0.2976580217023498,financial_plus_price,winsor_z,rolling_3y,2025
201,1,-0.0736087166874142,0.1655410000590232,0.07492537313432836,0.39501984342636864,0.2515947786770753,0.8292682926829268,0.26976574935752345,0.1252540940688452,financial_plus_price,winsor_z,rolling_5y,2016
204,1,0.024209033953234926,0.24471603554552238,0.22391812906828,0.2696690087653653,0.2301725935050453,0.8292682926829268,0.10230446165458001,0.1673645471107853,financial_plus_price,winsor_z,rolling_5y,2017
207,1,-0.17160499556111541,0.007118645117424103,-0.0884785855765172,0.17070321481616044,0.0822942175720612,0.5714285714285714,0.16735862564781578,0.0033445891683446527,financial_plus_price,winsor_z,rolling_5y,2018
211,1,-0.13154279926405588,0.35087621606455466,0.35220423857641064,0.09856447292454797,0.1404183441058331,0.6046511627906976,-0.22060127938230092,0.3191657523068489,financial_plus_price,winsor_z,rolling_5y,2019
212,1,-0.2728754423208908,0.09487842430923873,0.14321284948355967,0.6413425822442751,0.4952160479738532,0.8837209302325582,0.47293101134169374,0.16841157090258135,financial_plus_price,winsor_z,rolling_5y,2020
211,1,-0.20352563009741376,0.0099484234256963,0.005329518018420817,0.16019635789153414,0.1238196450124835,0.6511627906976745,0.17266531581186234,-0.012468957920328205,financial_plus_price,winsor_z,rolling_5y,2021
218,1,-2.5072835080391243,-0.30216118780009643,-0.2157072374612621,-0.08889905607668164,-0.0707866063528397,0.29545454545454547,0.059167439244377444,-0.1480664953210591,financial_plus_price,winsor_z,rolling_5y,2022
224,1,0.12306019453883932,0.41510649308984665,0.29787956438180657,0.9184863793253929,0.500841631485702,0.9333333333333333,0.2468518868181471,0.6716344925072458,financial_plus_price,winsor_z,rolling_5y,2023
224,1,-0.07440061204234727,0.189800172162993,-0.06342408712363871,0.36133585460508977,0.1177785948091811,0.5777777777777777,0.22412935964802297,0.1372064949570668,financial_plus_price,winsor_z,rolling_5y,2024
189,1,0.1321127912320449,0.45147305225673323,0.35726372669261813,0.7258106061280545,0.46830367302816434,0.9473684210526315,0.14842489986958268,0.5773857062584717,financial_plus_price,winsor_z,rolling_5y,2025
201,1,-0.08557016399668282,0.18064402740458438,0.03922269838924191,0.39221061455836026,0.2366305512309874,0.8048780487804879,0.2698237701813003,0.12238684437705993,price_only,rank,expanding,2016
204,1,-0.0214435859173161,0.19362011097839768,0.22736004410174498,0.24791249340423047,0.2243824720897134,0.8048780487804879,0.09062474677639139,0.15728774662783906,price_only,rank,expanding,2017
207,1,-0.025492931434700772,0.026287870815346566,-0.01584028747388815,0.2220972445289877,0.19270021614113514,0.6666666666666666,0.1560879096229027,0.06600933490608499,price_only,rank,expanding,2018
211,1,-0.5103364832482487,0.026384263247361494,0.02033060385023186,0.0026575341104396254,0.0164466396122093,0.5348837209302325,-0.03506818536529508,0.037725719475734706,price_only,rank,expanding,2019
