feature_set,forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_price_macro,fwd_3m_return,all,1011,-0.08199424839559999,0.23928122879533126,0.20704905995695685,0.08015426942067834,0.0247652743136341,0.625615763546798,-0.011349519766117654,0.091503789186796
financial_price_sector,fwd_3m_return,all,1011,-0.11454259842766334,0.18694705818956212,0.18969281394659915,0.08206910979183464,0.0389499853768133,0.6403940886699507,-0.005589175498385705,0.08765828529022035
financial_price_sector_macro,fwd_3m_return,all,1011,-0.12832272542940792,0.2400605625878943,0.213114512328539,0.09252351637930858,0.0312365276748112,0.6354679802955665,-0.013738318003789197,0.10626183438309778
growth_quality_only,fwd_3m_return,all,1011,-0.14884589056288622,-0.11342881374293826,-0.143990505286978,0.008383011182394835,0.0001134213451163,0.5024630541871922,0.051514838717297964,-0.04313182753490313
growth_quality_price,fwd_3m_return,all,1011,-0.07780124073292982,0.142359413632026,0.14660281922915552,0.048851337216215464,0.0092943040336845,0.541871921182266,-0.013760250235799312,0.06261158745201478
financial_only,fwd_3m_return,large_cap,235,-0.03370290311734103,0.31074899162708436,0.16069473972804568,0.20892392328326068,0.1474597822954739,0.723404255319149,0.04975462425697481,0.15916929902628588
financial_plus_price,fwd_3m_return,large_cap,235,0.03126516556734715,0.23787187350062522,0.17262244907394564,0.1630156067658618,0.1268607267473545,0.7446808510638298,0.0635997672660125,0.09941583949984929
financial_price_macro,fwd_3m_return,large_cap,235,0.05153618487171652,0.251743908214341,0.13237352862307783,0.1809069191209776,0.0862559859638978,0.6808510638297872,0.042838106855593736,0.13806881226538387
financial_price_sector,fwd_3m_return,large_cap,235,0.03635771811913646,0.2055914808107344,0.18108408000221918,0.20580149722026045,0.1384691885225231,0.7872340425531915,0.10931151656348358,0.09648998065677687
financial_price_sector_macro,fwd_3m_return,large_cap,235,-0.014396727723932079,0.2191070692915573,0.16276087177637844,0.18058188738183303,0.1006360565247372,0.6808510638297872,0.07587891825870269,0.10470296912313035
growth_quality_only,fwd_3m_return,large_cap,235,-0.05261823228999374,0.29592177099879563,0.14833563305862627,0.21570156028996101,0.1571511732464592,0.6595744680851063,0.04184853248376385,0.17385302780619716
growth_quality_price,fwd_3m_return,large_cap,235,0.06372801695365182,0.30307191104835135,0.21508594783026805,0.19064070694315952,0.1384691885225231,0.7659574468085106,0.08146108023228463,0.10917962671087489
financial_only,fwd_3m_return,mid_cap,507,-0.16816897333912273,-0.08651706818942106,-0.11290872230975374,-0.0162814652630479,-0.00562782871020695,0.46078431372549017,0.014165100792020466,-0.030446566055068368
financial_plus_price,fwd_3m_return,mid_cap,507,-0.16903280332677229,0.12549758424662893,0.12205718859130493,0.022198004098345932,0.00403961074042175,0.5098039215686274,-0.037101359434077955,0.05929936353242389
financial_price_macro,fwd_3m_return,mid_cap,507,-0.10328579301063257,0.14797382827382993,0.15248246868082016,0.019110731124387964,-0.00562782871020695,0.4803921568627451,-0.035955246818623575,0.05506597794301154
financial_price_sector,fwd_3m_return,mid_cap,507,-0.31440313628348293,0.12000242456095662,0.1322490087270326,0.023143700771797712,-0.0028660815524049503,0.49019607843137253,-0.033241368338912385,0.0563850691107101
financial_price_sector_macro,fwd_3m_return,mid_cap,507,-0.14081810222086033,0.14740445333834892,0.137163523806665,0.00617777752319274,-0.026856061280318852,0.4215686274509804,-0.031548044067559525,0.037725821590752266
growth_quality_only,fwd_3m_return,mid_cap,507,-0.18825375103184272,-0.13587343766156845,-0.1498028088970481,-0.019884281124075687,-0.0158934164342001,0.4215686274509804,0.018761911306549143,-0.03864619243062483
growth_quality_price,fwd_3m_return,mid_cap,507,-0.17119236960474637,0.05101052885887417,0.07315742746180162,0.002848431201393568,-0.020391099241775748,0.4215686274509804,-0.013906593938673707,0.016755025140067274
financial_only,fwd_6m_return,all,472,-0.00940645400823481,0.028276010665343278,-0.023255359468690288,0.14473011422677198,0.0645480541362741,0.6526315789473685,0.1433629241097083,0.0013671901170636824
financial_plus_price,fwd_6m_return,all,472,0.18289150775018648,0.4778665948340151,0.35580804213448725,0.4024936626571964,0.2738373106090608,0.8526315789473684,0.022993480198234374,0.379500182458962
