symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities,prior_q_revenue,prior_y_revenue,prior_y_growth,q_revenue_growth_qoq,q_revenue_growth_yoy,q_revenue_growth_accel,q_gross_margin,q_operating_margin,q_net_margin,q_ebitda_margin,q_cfo_margin,q_fcf_margin,q_capex_to_revenue,q_rd_to_revenue,q_sga_to_revenue,q_debt_to_assets,q_debt_to_equity,q_cash_to_assets,q_current_ratio,q_asset_turnover,q_gross_margin_qoq_delta,q_operating_margin_qoq_delta,q_net_margin_qoq_delta,q_ebitda_margin_qoq_delta,q_cfo_margin_qoq_delta,q_fcf_margin_qoq_delta,q_capex_to_revenue_qoq_delta,q_rd_to_revenue_qoq_delta,q_sga_to_revenue_qoq_delta,q_debt_to_assets_qoq_delta,q_debt_to_equity_qoq_delta,q_cash_to_assets_qoq_delta,q_current_ratio_qoq_delta,q_asset_turnover_qoq_delta,availability_date,current_market_cap,market_cap_bucket,annual_revenue_growth_yoy,annual_revenue_growth_accel,annual_gross_margin,annual_operating_margin,annual_net_margin,annual_fcf_margin,annual_debt_to_assets,annual_asset_turnover,trade_date,trade_close,reporting_lag_days,fwd_1m_return,fwd_1m_return_end_date,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
SNOW,2026-01-31,,1283994000.0,857663000.0,-318159000.0,-309550000.0,-240896000.0,511038000.0,664784000.0,781154000.0,-17859000.0,763295000.0,9132495000.0,2741114000.0,1924102000.0,2828163000.0,5742612000.0,4421691000.0,1212909000.0,986770000.0,,0.058607034822892645,0.30120899500390164,,0.6679649593378162,-0.24778854106794893,-0.24108368107639133,-0.18761458386877197,0.6083782322970357,0.5944692887972997,0.01390894349973598,0.3980065327408072,0.517746967664958,0.3001495210235538,1.42461990060818,0.3096813083390684,1.2987366145666894,0.1405961897597535,-0.009774260999406148,0.023850139162802125,0.0012733300431568007,0.0003368617879096203,0.4949987454600182,0.5007986177082072,-0.0057998722481890485,-0.009301022896095468,-0.024323377266112667,-0.026163076096002713,0.16550158793731784,0.07376248215386805,-0.06782144064190199,-0.006776939247823605,2026-03-17,54437380096.0,large_cap,0.2921468781812435,-0.0664941172589526,0.6650467847416554,-0.4015033107250284,-0.3545227823988334,0.2437825322992855,0.2972424650246659,0.401419181756616,2026-03-17,174.60000610351562,45,-0.1778350628083547,2026-04-16,,,,,,
SNPS,2026-01-31,,2408798000.0,1771416000.0,321328000.0,64958000.0,692456000.0,714988000.0,579107000.0,856832000.0,-35320000.0,821512000.0,47237928000.0,10868557000.0,30548827000.0,2129572000.0,5373638000.0,3942650000.0,2254860000.0,1455315000.0,,0.06826942692672722,0.6551729350690401,,0.7353941675474656,0.13339765310333204,0.02696697689054873,0.28746951799196113,0.3557093620967802,0.341046447232188,0.014662914864592216,0.2968235609627706,0.24041326836040217,0.2300811542792478,0.3557765736798994,0.04508182492678341,1.3629508071982042,0.05099288012801916,0.025728378984095746,0.07956149476090724,-0.1720236478045543,-0.2271517888740971,0.07199418687525871,0.0726519571086327,-0.0006577702333739541,-0.03439079380870075,-0.015037624377949643,-0.06631237099001336,-0.14879906953903593,-0.014805417773554909,-0.2521228504087658,0.004235281323545226,2026-03-17,96244596736.0,large_cap,0.151244664162955,-0.0009591472598806,0.7698457566565516,0.1297000160755796,0.188855455589581,0.1912560187735552,0.2963935252692611,0.1462780060932148,2026-03-17,429.2900085449219,45,0.0276269773707567,2026-04-16,,,,,,
TGT,2026-01-31,,30453000000.0,8110000000.0,1380000000.0,1045000000.0,2210000000.0,,6049000000.0,3077000000.0,-885000000.0,2192000000.0,59490000000.0,20290000000.0,16165000000.0,5488000000.0,20005000000.0,21230000000.0,25270000000.0,30915000000.0,,0.20510486743173728,-0.014944201843765215,,0.2663120218040915,0.04531573244015368,0.034315174202869995,0.07257084687879684,0.10104094834663252,0.0719797721078383,0.029061176238794208,0.0,0.1986339605293403,0.3410657253319886,1.2551809464893289,0.0922507984535216,0.9422986340084786,0.5119011598587998,-0.015959446339952776,0.00780089270924747,0.007049641951188158,0.003437487163719666,0.056442610396494015,0.06608345236110305,-0.009640841964609036,0.0,-0.02044004026211202,0.0069989486488194474,-0.03770338355389424,0.02854124202005659,-0.03228003090066367,0.0906713087144615,2026-03-17,55200583680.0,large_cap,-0.0078762149480504,0.0077762777205712,0.2821162472083028,0.0522305425745547,0.0383893549537375,0.0420021395191712,0.3440426526337655,1.8446917897142063,2026-03-17,115.66717529296875,45,0.061236769105019295,2026-04-16,,,,,,
TJX,2026-01-31,,17743000000.0,5476000000.0,2354000000.0,1773000000.0,2736000000.0,,3122000000.0,3157000000.0,-468000000.0,2689000000.0,35767000000.0,13489000000.0,10190000000.0,6230000000.0,15202000000.0,13361000000.0,15117000000.0,16350000000.0,,0.1737117152874248,0.0851987767584097,,0.3086287550019726,0.13267203967761934,0.09992673166882714,0.1542016569914896,0.17792932424054556,0.15155272501831707,0.026376599222228486,0.0,0.17595671532435325,0.3771353482260184,1.3237487733071638,0.1741829060306987,1.1377890876431405,0.49607179802611345,-0.01729570090859167,0.00777953455094077,0.004537434850675384,0.005296450932086277,0.07658646520766867,0.08533588305231853,-0.00874941784464986,0.0,-0.02507523545953244,0.0021779763947122888,-0.08601722733393036,0.04231977087098515,0.04401007185855366,0.06646511392926224,2026-03-17,163030188032.0,large_cap,0.0395263478244831,-0.0462033862351132,0.3060326472675656,0.1118168914123491,0.0863023420865862,0.074485450674237,0.4024693691139878,1.775174021229015,2026-03-17,154.87274169921875,45,0.013515223050048597,2026-04-16,,,,,,
ULTA,2026-01-31,,3898361000.0,1483644000.0,480503000.0,356677000.0,562290000.0,,1003141000.0,1180596000.0,-191567000.0,989029000.0,6999294000.0,2182061000.0,2803451000.0,424243000.0,3144146000.0,2224342000.0,2857623000.0,3487619000.0,,0.36419709667790334,0.11777146528906979,,0.38058148026824606,0.12325769727328997,0.09149409200430643,0.14423753982763526,0.3028441952913032,0.2537038001354928,0.049140395155810354,0.0,0.25732378299495606,0.31175444266235997,0.7783481858609264,0.060612256036108786,1.4135173458038377,0.5569648881730072,-0.02383330782661458,0.013115456676822207,0.010701419212969007,0.009438092874695714,0.30087017702507285,0.28227054949326325,0.01859962753180957,0.0,-0.036948764503436815,-0.05540881865077418,-0.19948786058622503,0.03138914325073133,0.08558003532156011,0.1494486295802389,2026-03-17,21618143232.0,mid_cap,0.0078833417816936,-0.0899483840802772,,0.139758264550242,0.1063345247650113,0.0853555712666128,0.3204485800923173,1.8820779403411672,2026-03-17,523.0700073242188,45,0.031295992673961104,2026-04-16,,,,,,
WDAY,2026-01-31,,2532000000.0,1921000000.0,305000000.0,145000000.0,389000000.0,691000000.0,925000000.0,1278000000.0,-60000000.0,1218000000.0,18074000000.0,3821000000.0,7805000000.0,1501000000.0,8429000000.0,6378000000.0,2432000000.0,2211000000.0,,0.04111842105263164,0.1451831750339212,,0.7586887835703001,0.12045813586097946,0.057266982622432856,0.15363349131121642,0.504739336492891,0.48104265402843605,0.023696682464454975,0.27290679304897314,0.36532385466034756,0.21140865331415293,0.48955797565663034,0.08304747150603076,1.321574161179053,0.1400907380767954,0.0016986519913527731,0.01190550428203209,-0.046351438430198726,-0.03222177184667832,0.26296302070341737,0.2548913382389624,0.008071682464454975,-0.0009418911615531878,-0.009264961129126115,-0.002269449327951756,0.0623702292887961,-0.0639301635567826,-0.5072079795424937,0.0030843722382510874,2026-03-17,31213191168.0,mid_cap,0.1635211461633834,-0.0042716466294092,0.7550319677954062,0.0590812218801799,0.0622780014207909,0.2591759412739758,0.1870167436168437,0.4698225510374367,2026-03-17,135.1699981689453,45,-0.07620030747865802,2026-04-16,,,,,,
WMT,2026-01-31,,190656000000.0,47041000000.0,8708000000.0,4237000000.0,10420000000.0,,,14113000000.0,-8015000000.0,6098000000.0,284668000000.0,67095000000.0,99617000000.0,10727000000.0,84874000000.0,107469000000.0,179496000000.0,180554000000.0,,0.06217408744484554,0.05595002049248432,,0.24673233467606578,0.04567388385364216,0.022223271231957033,0.05465340718361866,0.07402337193689157,0.03198430681436724,0.04203906512252434,0.0,0.0,0.2356956173507384,0.6735296184386199,0.03768249329042955,0.7897533242144247,0.6697486194444054,-0.0027996883216611923,0.008369431386734821,-0.012000332636652851,-0.01485231996350439,0.023325863357313195,0.021499393501535756,0.0018264698557774461,0.0,0.0,-0.0013486049908111863,-0.0385231632126799,0.0010228130493112608,-0.01313610999564685,0.04791286395775185,2026-03-17,1047786684416.0,large_cap,0.0507000964320154,-0.009559453469913,0.2485106133027893,0.0430963971306269,0.0285410104481009,0.0185907178572215,0.2304781403480521,2.610908547175671,2026-03-17,124.58606719970703,45,-3.0680209641920086e-05,2026-04-16,,,,,,
ZS,2026-01-31,,815751000.0,624491000.0,-51773000.0,-34312000.0,26941000.0,229137000.0,442930000.0,204073000.0,-34944000.0,169129000.0,6753828000.0,1864388000.0,2195948000.0,1202751000.0,4450763000.0,2340966000.0,788112000.0,647900000.0,,0.035069888543760364,0.25906930081802737,,0.765541200685013,-0.06346667058943231,-0.04206185465908102,0.033026009162109515,0.2501657981418349,0.20732919726730337,0.04283660087453157,0.28089086007862696,0.5429720588758089,0.2760490791296432,0.849012818154164,0.1780843397255601,1.9012505948399079,0.1207835023337876,-3.399674885429249e-05,-0.017328558239918537,-0.027324101649356516,-0.011430870063178264,-0.31863660557743345,-0.3170835765516462,-0.0015530290257871684,0.026487932575937012,-0.01433832340488217,-0.005977133959617298,-0.07618270952843953,-0.027694085197864732,0.07711953722441534,-0.00040694152772002834,2026-03-17,25895344128.0,mid_cap,0.233116874430002,-0.1075357856365923,0.7687424596397835,-0.0475639843403669,-0.0155167286106284,0.2718525016694006,0.2798453804801579,0.416380316915186,2026-03-17,156.0,45,-0.1389102446727264,2026-04-16,,,,,,
ACN,2026-02-28,,18044066000.0,5459361000.0,2493547000.0,1825239000.0,2834660000.0,,2965814000.0,3817638000.0,-149685000.0,3667953000.0,67064216000.0,8347367000.0,31210676000.0,9399183000.0,28007338000.0,20957440000.0,18742125000.0,16659301000.0,,-0.03724545642503185,0.08312263521740793,,0.302557139837551,0.1381920793240282,0.10115452913993997,0.15709652137162433,0.2115730456760688,0.20327752070957844,0.008295524966490369,0.0,0.16436506051352284,0.12446827082866369,0.26745229741259047,0.14015198507651233,1.336391181365663,0.2690565412708321,-0.028094693932632475,-0.03154529037124382,-0.016844950641568268,-0.020528214350712393,0.12278391424086602,0.12284293818491808,-5.902394405205881e-05,0.0,0.0034505964386113697,-0.002304431638781329,0.0017359872853994207,-0.008992284394000433,-0.07424206451687088,-0.020627697441299275,2026-04-14,103897767936.0,large_cap,0.0736020532644121,0.0613621898821254,0.319139528084181,0.1555981740237682,0.1102067592145517,0.1560771545616602,0.1251300388163315,1.0654191717742134,2026-04-14,190.3699951171875,45,-0.16142247473727345,2026-05-13,,,,,,
ADBE,2026-02-28,,6398000000.0,5734000000.0,2418000000.0,1889000000.0,2659000000.0,1110000000.0,2171000000.0,2958000000.0,-37000000.0,2921000000.0,29704000000.0,6656000000.0,11433000000.0,6332000000.0,10386000000.0,11390000000.0,6194000000.0,5714000000.0,,0.03293509848240239,0.11970598529926502,,0.8962175679899969,0.3779306033135355,0.2952485151609878,0.41559862457017815,0.4623319787433573,0.4565489215379806,0.00578305720537668,0.1734917161613004,0.33932478899656143,0.2240775653110692,0.5821744074171259,0.2131699434419607,0.9118525021949078,0.2153918664152976,0.0009963862011689306,0.012899928466909738,-0.004396302404398034,0.009721969742925995,-0.04783915461150223,-0.04813302873647857,0.00029387412497629273,-0.0037766080233944677,-0.007623870996980697,-0.0013089277727387771,0.010205036342532448,0.029043282199758352,-0.08452004682470005,0.005397290879631728,2026-04-14,100079919104.0,large_cap,0.1052778423622413,-0.0027132957695532,0.8926753334174765,0.3662754007320459,0.2999705498758888,0.4144894610627287,0.2253864930838079,0.8058380797396257,2026-04-14,235.72000122070312,45,0.00148483837477964,2026-05-13,,,,,,
AZO,2026-02-28,,4274098000.0,2243358000.0,698456000.0,468860000.0,854096000.0,,,373429000.0,-336713000.0,36716000.0,20438595000.0,12411277000.0,-2908770000.0,285492000.0,8832074000.0,9921203000.0,4628630000.0,3952012000.0,,-0.07659545048966976,0.08149924645977791,,0.5248728503651531,0.16341600028824796,0.10969799943754215,0.19983070112103185,0.08737024747677756,0.008590350525420802,0.07877989695135676,0.0,0.0,0.6072470734901299,4.266847155326822,0.013968279130732812,0.8902220829469975,0.20911897319752165,0.0151511832627923,-0.006008861928001763,-0.004984530814389848,-0.0016109781663598832,-0.1166147329601984,-0.12728289922666566,0.010668166266467272,0.0,0.0,-0.005477287366666417,0.5347165491551817,-0.0006582371920717221,0.029964310681563466,-0.026248039784802557,2026-04-14,55024222208.0,large_cap,0.0242532450043448,-0.0349233965767921,0.5262486365892685,0.1906230501253068,0.1319121564570609,0.0945196023574353,0.6349052074767645,0.978475844682321,2026-04-14,3508.5,45,-0.04039046912854494,2026-05-13,,,,,,
COST,2026-02-28,,69597000000.0,8878000000.0,2606000000.0,2035000000.0,3351000000.0,,6272000000.0,2996000000.0,-1289000000.0,1707000000.0,83639000000.0,8165000000.0,32087000000.0,17383000000.0,43133000000.0,40763000000.0,67307000000.0,63723000000.0,,0.03402320709584439,0.09218021750388394,,0.12756296966823283,0.0374441427073006,0.029239766081871343,0.048148627095995516,0.043047832521516734,0.024526919263761368,0.018520913257755362,0.0,0.09011882696093222,0.09762192278721649,0.2544644248449528,0.20783366611269863,1.058140961165763,0.8321118138667368,-0.0031366603851048502,0.0008506234596740506,-0.0004896825638861547,0.0003824215007379658,-0.02660316960307655,-0.022451849660718996,-0.004151319942357554,0.0,-0.003987283844778922,-0.00024013784812594585,-0.012901842521314544,0.011952521046869419,0.01972450380420354,0.019127153883647052,2026-04-14,465369300992.0,large_cap,0.0816732363147614,0.0314730629687711,0.1284320671426235,0.0377241266554035,0.0294257634385161,0.0284738496194161,0.1060065629904408,3.569890660060442,2026-04-14,973.3875732421875,45,0.06132437320282902,2026-05-13,,,,,,
MU,2026-02-28,,23860000000.0,17755000000.0,16135000000.0,13785000000.0,18478000000.0,1250000000.0,344000000.0,11903000000.0,-6387000000.0,5516000000.0,101509000000.0,10798000000.0,72459000000.0,13908000000.0,41413000000.0,14296000000.0,13643000000.0,8053000000.0,,0.74888221065748,1.9628709797590962,,0.7441324392288349,0.6762363788767812,0.577745180217938,0.7744341994970663,0.49886839899413243,0.23118189438390613,0.2676865046102263,0.052388935456831515,0.014417435037720033,0.1063748042045533,0.1490222056611325,0.13701248165187324,2.89682428651371,0.23505304948329706,0.18369851707095175,0.2264819260438266,0.1936654323618946,0.16261861641416664,-0.11763823444426086,0.009676360410439871,-0.12731459485470076,-0.03344262651634154,-0.010283876990426268,-0.03815067531761117,-0.06226575815208385,0.02382315036574187,0.4370398752367617,0.07636000182769226,2026-04-14,817223696384.0,large_cap,0.4885110111106685,-0.1273834547837973,0.397907860238643,0.2624270961528172,0.2284498903098079,0.0446251805875113,0.1845213652503683,0.451436025024759,2026-04-14,465.6600036621094,45,0.7257870518463934,2026-05-13,,,,,,
