observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,training_mode,feature_set,test_year
204,1,-0.04806511729730856,0.17953594330395709,0.14860031684006159,0.24912095275668286,0.2266569085042646,0.7317073170731707,0.12864397080913983,0.12047698194754303,rolling_5y,financial_only,2017
204,1,0.024209033953234926,0.24471603554552238,0.22391812906828,0.2696690087653653,0.2301725935050453,0.8292682926829268,0.10230446165458001,0.1673645471107853,rolling_5y,financial_plus_price,2017
204,1,-0.027177250888173576,0.1443053207243338,0.14625382533164655,0.23122560021522082,0.21522286791087,0.7560975609756098,0.11067870485430222,0.1205468953609186,rolling_5y,price_only,2017
207,1,-0.10911351603510311,0.04933753148151284,0.0051114303312251716,0.1687030919181457,0.1136790065608569,0.6904761904761905,0.151243317630258,0.017459774287887697,expanding,financial_only,2018
207,1,-0.17160499556111541,0.007118645117424103,-0.0884785855765172,0.17070321481616044,0.0822942175720612,0.5714285714285714,0.16735862564781578,0.0033445891683446527,expanding,financial_plus_price,2018
207,1,-0.1546167063795283,-0.013340893149648848,-0.06956846446082411,0.2033783941361775,0.12938448805267694,0.6666666666666666,0.19479580860003579,0.008582585536141718,expanding,price_only,2018
207,1,-0.12429459866736958,0.04892603797115234,0.009331269188581261,0.16296556201262538,0.12227096383548425,0.6666666666666666,0.10199645796389756,0.060969104048727824,rolling_3y,financial_only,2018
207,1,-0.27272140439412307,0.0349085498400872,-0.04627885833035686,0.20388141958941977,0.14186319151468715,0.6428571428571429,0.18230170938363008,0.021579710205789693,rolling_3y,financial_plus_price,2018
207,1,-0.258485522405671,0.01730143354930837,-0.049080808736781716,0.23802242334015747,0.22522239777900185,0.7142857142857143,0.19437363603655217,0.0436487873036053,rolling_3y,price_only,2018
207,1,-0.10911351603510311,0.04933753148151284,0.0051114303312251716,0.1687030919181457,0.1136790065608569,0.6904761904761905,0.151243317630258,0.017459774287887697,rolling_5y,financial_only,2018
