observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,year,portfolio
253,0.45387531962730976,0.45172636557767687,0.28126806101848656,1.6060350540404473,0.0016376142700197755,0.0253705034535074,-0.23139811785080533,0.5731225296442688,2020,spy_trend_overlay
253,0.4876403802183662,0.4853067275153746,0.38032773553781196,1.2760224463491059,0.0018610858716094378,0.028201169301712802,-0.32254944895752835,0.5731225296442688,2020,sector_trend_overlay
253,0.5020174221206162,0.4996042069267115,0.2550100449117131,1.959155009363177,0.0017383913127776685,0.05722723911147875,-0.1755735628635402,0.5731225296442688,2020,spy_sector_credit_overlay
253,0.4494421440941181,0.44731721259933477,0.2795872232096829,1.599920080267255,0.0016241331636980786,0.07232991228269212,-0.21036431123619048,0.5731225296442688,2020,spy_sector_credit_overlay_vt25
253,0.5197038947506747,0.5171920612143532,0.32748472389800015,1.5792860657996377,0.0018700839333469828,0.08444690927687783,-0.24337489819881386,0.5731225296442688,2020,spy_sector_credit_overlay_vt30
252,0.2624750156375171,0.2624750156375171,0.18453779918446192,1.4223374116169554,0.0009926849994440225,0.012352693602693608,-0.07238428947849573,0.5357142857142857,2021,base_top20_equal
252,0.2977363305942813,0.2977363305942813,0.21199234457532534,1.4044673697567853,0.0011236565936652782,0.015228926166426163,-0.08324100351536379,0.5357142857142857,2021,spy_trend_overlay
252,0.3104937152866918,0.3104937152866918,0.220238948435302,1.4098038402953204,0.0011695783751616744,0.016907411165223676,-0.08693513024959199,0.5357142857142857,2021,sector_trend_overlay
252,0.3025182525859369,0.3025182525859369,0.22726309160715397,1.3311367474876594,0.001151568497999007,0.030576788708800696,-0.09573018862327787,0.5357142857142857,2021,spy_sector_credit_overlay
252,0.2993841040108176,0.2993841040108176,0.2513344215688286,1.1911782800862016,0.001164838925771489,0.04738244268435098,-0.11434591156011731,0.5357142857142857,2021,spy_sector_credit_overlay_vt25
252,0.3469328122003057,0.3469328122003057,0.2850949350334386,1.216902756127934,0.0013434488677608108,0.050924927127984236,-0.11807336017772774,0.5357142857142857,2021,spy_sector_credit_overlay_vt30
251,-0.19081373284269854,-0.19149601829973806,0.326207615349492,-0.5870372403617041,-0.0006332293834052253,0.011976337075938672,-0.289637917853911,0.43824701195219123,2022,base_top20_equal
251,-0.22414049147154602,-0.22492455952691226,0.1903533201805115,-1.1816161615338097,-0.0009387608494247627,0.041122540142460466,-0.23991648759116602,0.4342629482071713,2022,spy_trend_overlay
251,-0.224037396570259,-0.2248211584623192,0.2375162232376903,-0.9465507467139761,-0.0008985259326653499,0.028924430834970493,-0.2812039771396434,0.43824701195219123,2022,sector_trend_overlay
251,-0.25959348847613006,-0.2604795457141751,0.15745001176408935,-1.654363456666215,-0.0011474978946504327,0.05508070916060277,-0.2679482789845725,0.43824701195219123,2022,spy_sector_credit_overlay
251,-0.3145073786190977,-0.3155378942400662,0.20713690900892728,-1.523330128608161,-0.0014181540964326583,0.07514892302067426,-0.32603433358039347,0.43824701195219123,2022,spy_sector_credit_overlay_vt25
