feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_growth,avg_trailing_6m
financial_only,fwd_3m_return,large_cap,growth30_positive_margin,13,0.3989795015463996,0.2706721549243038,0.7692307692307693,0.5765124797794041,0.5039079549051357
financial_plus_price,fwd_3m_return,large_cap,growth30_positive_margin,13,0.3989795015463996,0.2706721549243038,0.7692307692307693,0.5765124797794041,0.5039079549051357
growth_quality_only,fwd_3m_return,large_cap,growth30_positive_margin,13,0.3989795015463996,0.2706721549243038,0.7692307692307693,0.5765124797794041,0.5039079549051357
growth_quality_price,fwd_3m_return,large_cap,growth30_positive_margin,13,0.3989795015463996,0.2706721549243038,0.7692307692307693,0.5765124797794041,0.5039079549051357
growth_quality_only,fwd_3m_return,large_cap,growth30_model_top_half,14,0.3776692554734237,0.25270322988165944,0.7857142857142857,0.5753347251114158,0.46243638656495395
growth_quality_price,fwd_3m_return,large_cap,growth30_model_top_half,11,0.3495361165758926,0.2242217387688672,0.7272727272727273,0.6064079729122197,0.12961820668481489
financial_only,fwd_3m_return,large_cap,growth30_model_top_half,10,0.3465347334280331,0.25270322988165944,0.8,0.6240812368404718,0.5923094456737319
financial_plus_price,fwd_3m_return,large_cap,growth30_model_top_half,10,0.34108412618200906,0.2474469468465855,0.8,0.6254831948689688,0.206503137261025
growth_quality_only,fwd_3m_return,large_cap,model_top_quintile,47,0.21570156028996101,0.1571511732464592,0.6595744680851063,0.24640441725850873,0.30314294227515326
financial_only,fwd_3m_return,large_cap,model_top_quintile,47,0.20892392328326068,0.1474597822954739,0.723404255319149,0.1916957308976754,0.2375911719130861
growth_quality_price,fwd_3m_return,large_cap,model_top_quintile,47,0.19064070694315952,0.1384691885225231,0.7659574468085106,0.23599232592658,0.14286315367059296
financial_plus_price,fwd_3m_return,large_cap,model_top_quintile,47,0.1630156067658618,0.1268607267473545,0.7446808510638298,0.20055939521092314,0.12189302981702105
financial_only,fwd_3m_return,mid_cap,growth30_positive_margin_mom,11,0.03325359638378799,0.0251410546406885,0.5454545454545454,0.6088196808838325,0.24602481702824983
financial_plus_price,fwd_3m_return,mid_cap,growth30_positive_margin_mom,11,0.03325359638378799,0.0251410546406885,0.5454545454545454,0.6088196808838325,0.24602481702824983
growth_quality_only,fwd_3m_return,mid_cap,growth30_positive_margin_mom,11,0.03325359638378799,0.0251410546406885,0.5454545454545454,0.6088196808838325,0.24602481702824983
growth_quality_price,fwd_3m_return,mid_cap,growth30_positive_margin_mom,11,0.03325359638378799,0.0251410546406885,0.5454545454545454,0.6088196808838325,0.24602481702824983
financial_plus_price,fwd_3m_return,mid_cap,model_top_quintile,102,0.022198004098345932,0.00403961074042175,0.5098039215686274,-0.004244713898020777,0.09364015917343053
growth_quality_price,fwd_3m_return,mid_cap,model_top_quintile,102,0.002848431201393568,-0.020391099241775748,0.4215686274509804,-0.0375589988864348,0.08542427746207826
financial_only,fwd_3m_return,mid_cap,growth30_positive_margin,15,-0.008646195190250406,-0.0161603217275067,0.4666666666666667,0.6423338869663606,0.1179490688395301
