feature_set,forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
growth_quality_only,fwd_3m_return,mid_cap,507,-0.18825375103184272,-0.13587343766156845,-0.1498028088970481,-0.019884281124075687,-0.0158934164342001,0.4215686274509804,0.018761911306549143,-0.03864619243062483
growth_quality_price,fwd_3m_return,mid_cap,507,-0.17119236960474637,0.05101052885887429,0.07315742746180162,0.002848431201393568,-0.020391099241775748,0.4215686274509804,-0.013906593938673707,0.016755025140067274
financial_only,fwd_6m_return,all,472,-0.00940645400823481,0.028276010665343278,-0.023255359468690288,0.14473011422677198,0.0645480541362741,0.6526315789473685,0.1433629241097083,0.0013671901170636824
financial_plus_price,fwd_6m_return,all,472,0.1828915077501867,0.47786659483401517,0.35580804213448725,0.4024936626571964,0.2738373106090608,0.8526315789473684,0.022993480198234374,0.379500182458962
growth_quality_only,fwd_6m_return,all,472,-0.008355383843771769,0.015553005654513436,-0.06309754570665228,0.16832423821446355,0.0473077384564075,0.6105263157894737,0.18026763525507247,-0.011943397040608927
growth_quality_price,fwd_6m_return,all,472,0.11845526357294145,0.41050962250262313,0.2549250821484188,0.2995629635032426,0.1347099928090396,0.7263157894736842,0.024605790541542293,0.2749571729617003
financial_only,fwd_6m_return,large_cap,213,-0.022973925791087924,0.16775966574269496,0.06731929538947407,0.3472073890859537,0.1249430408779035,0.7209302325581395,0.24492161565476844,0.10228577343118528
financial_plus_price,fwd_6m_return,large_cap,213,0.060619568938397594,0.2815431625558966,0.2544276414970159,0.46496484120956744,0.3829489592662187,0.8837209302325582,0.20078706747635472,0.2641777737332127
growth_quality_only,fwd_6m_return,large_cap,213,-0.036754235534594004,0.08681358854477372,0.0016329688335791335,0.3333508588597893,0.1272632865318037,0.7441860465116279,0.24562322914439352,0.0877276297153958
growth_quality_price,fwd_6m_return,large_cap,213,0.08640810155387046,0.36341625974601705,0.3016433994550977,0.4235960782786756,0.2856637363915817,0.8372093023255814,0.13313365930684415,0.29046241897183145
financial_only,fwd_6m_return,mid_cap,239,-0.1317263353196101,-0.04900307575533249,-0.01487993340597055,0.05486334902000617,0.007044254027525801,0.5208333333333334,0.02810236115316317,0.026760987866843
financial_plus_price,fwd_6m_return,mid_cap,239,-0.16869506968694337,0.2435269224495241,0.2719893815266692,0.15325687713106806,0.12857485536565927,0.75,-0.022010124897363193,0.17526700202843126
growth_quality_only,fwd_6m_return,mid_cap,239,-0.09613706440578595,-0.05364401911023597,-0.01074329785490147,0.05859258986446131,0.0079741791336124,0.5208333333333334,0.06807413779615812,-0.00948154793169681
growth_quality_price,fwd_6m_return,mid_cap,239,-0.14665210093182468,0.08607797751664147,0.20106712140923313,0.060063070571958956,0.09407599342960465,0.6041666666666666,-0.033378014139167474,0.09344108471112643
