base,breadth_feature,low_quantile,high_quantile,low_threshold,high_threshold,vol_feature,vol_quantile,vol_threshold,low_scale,high_scale,vol_scale,target_vol,train_objective,train_annual_return,train_sharpe,train_max_drawdown,validation_annual_return,validation_sharpe,validation_max_drawdown,full_annual_return,full_sharpe,full_max_drawdown
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,0.85,0.3,2.1467388759128947,0.7656536344025602,2.2145520485874024,-0.22094389955502003,0.4603986987054798,1.3848667645410524,-0.273139736308612,0.6170714897051233,1.816885987703284,-0.2731397363086129
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.3,0.85,0.4,2.146692271147079,0.9588451685688395,2.2334196424944195,-0.27849640506110895,0.5760279416553071,1.3968022174906642,-0.31800542538593757,0.7711913343040755,1.8294948728308251,-0.3180054253859377
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,1.0,0.35,2.1457322877835914,0.8755495243216449,2.220344648124856,-0.24972226520559349,0.5446692742134462,1.4218980909182017,-0.2973879576052274,0.7143178156816445,1.8357357924211408,-0.29738795760522807
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,1.0,0.35,2.1457322877835914,0.8755495243216449,2.220344648124856,-0.24972226520559349,0.5446692742134462,1.4218980909182017,-0.2973879576052274,0.7143178156816445,1.8357357924211408,-0.29738795760522807
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.45,1.0,0.4,2.1411475541819454,0.977607626612043,2.2267110749033323,-0.2810850460437955,0.6108220892722622,1.4232669083873795,-0.3249534729900361,0.7983748018302363,1.837658664750532,-0.3249534729900362
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.45,1.0,0.4,2.1411475541819454,0.977607626612043,2.2267110749033323,-0.2810850460437955,0.6108220892722622,1.4232669083873795,-0.3249534729900361,0.7983748018302363,1.837658664750532,-0.3249534729900362
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.3,0.85,0.35,2.140643726332541,0.8576849920466447,2.214896240672844,-0.2457895127496319,0.5190516960245708,1.3799035052183752,-0.289784693536441,0.692373509284353,1.8119501561312144,-0.2897846935364411
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.55,1.45,0.7,0.4,2.1398166249408,0.9729051546118137,2.232233289802021,-0.28699769578358336,0.5827758916753483,1.4356252076387388,-0.33807141509028515,0.7815270247104025,1.8509417344967183,-0.33807141509028493
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.3,0.7,0.3,2.1370576262783465,0.7503201578013805,2.2012404685342544,-0.214246873816184,0.43907085428801906,1.3350106288428345,-0.2656357935479229,0.5985879432043697,1.7849198383193123,-0.2656357935479221
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.7,0.15456650250069123,0.7,1.3,0.85,0.3,2.136732329991251,0.7502705318640344,2.1993641553384893,-0.21268593172004513,0.4541156065681502,1.3781820981136976,-0.26039927770384896,0.6062816262309707,1.8056053446517275,-0.2603992777038495
sharpe_guarded_ml_growth_25,adv_20,0.3,0.6,0.3770491803278688,0.5081967213114754,spy_vol_21,0.8,0.18325780869818703,0.7,1.3,0.7,0.35,2.1363389723959676,0.8553488719748079,2.211058710750638,-0.24578951274963168,0.5038134904137557,1.3581815489724587,-0.2941051183867699,0.6833523912349768,1.8004346149476733,-0.2941051183867699
