symbol,fiscal_period_end,total_revenue,error
LRCX,2025-06-30,18435591000.0,
LULU,2023-01-31,8110518000.0,
LULU,2024-01-31,9619278000.0,
LULU,2025-01-31,10588126000.0,
LULU,2026-01-31,11102600000.0,
MA,2022-12-31,22237000000.0,
MA,2023-12-31,25098000000.0,
MA,2024-12-31,28167000000.0,
MA,2025-12-31,32791000000.0,
MCD,2022-12-31,23182000000.0,
MCD,2023-12-31,25495000000.0,
MCD,2024-12-31,25920000000.0,
MCD,2025-12-31,26885000000.0,
MDB,2023-01-31,1284040000.0,
MDB,2024-01-31,1683011000.0,
MDB,2025-01-31,2006443000.0,
MDB,2026-01-31,2463797000.0,
MDLZ,2022-12-31,31496000000.0,
MDLZ,2023-12-31,36016000000.0,
MDLZ,2024-12-31,36441000000.0,
MDLZ,2025-12-31,38537000000.0,
MDT,2022-04-30,31686000000.0,
MDT,2023-04-30,31227000000.0,
MDT,2024-04-30,32364000000.0,
MDT,2025-04-30,33537000000.0,
META,2022-12-31,116609000000.0,
META,2023-12-31,134902000000.0,
META,2024-12-31,164501000000.0,
META,2025-12-31,200966000000.0,
MMM,2022-12-31,26161000000.0,
MMM,2023-12-31,24610000000.0,
MMM,2024-12-31,24575000000.0,
MMM,2025-12-31,24948000000.0,
MRK,2022-12-31,59283000000.0,
MRK,2023-12-31,60115000000.0,
MRK,2024-12-31,64168000000.0,
MRK,2025-12-31,65011000000.0,
MRNA,2022-12-31,18875000000.0,
MRNA,2023-12-31,6754000000.0,
MRNA,2024-12-31,3199000000.0,
MRNA,2025-12-31,1922000000.0,
MRVL,2023-01-31,5919600000.0,
MRVL,2024-01-31,5507700000.0,
MRVL,2025-01-31,5767300000.0,
MRVL,2026-01-31,8194600000.0,
MS,2022-12-31,50210000000.0,
MS,2023-12-31,50667000000.0,
MS,2024-12-31,57621000000.0,
MS,2025-12-31,65966000000.0,
MSFT,2022-06-30,198270000000.0,
MSFT,2023-06-30,211915000000.0,
MSFT,2024-06-30,245122000000.0,
MSFT,2025-06-30,281724000000.0,
MU,2022-08-31,30758000000.0,
MU,2023-08-31,15540000000.0,
MU,2024-08-31,25111000000.0,
MU,2025-08-31,37378000000.0,
NCNO,2023-01-31,408315000.0,
NCNO,2024-01-31,476543000.0,
NCNO,2025-01-31,540657000.0,
NCNO,2026-01-31,594781000.0,
NEE,2022-12-31,20956000000.0,
NEE,2023-12-31,28114000000.0,
NEE,2024-12-31,24753000000.0,
