symbol,fiscal_period_end,total_revenue,error,prior_revenue,revenue_growth_yoy,availability_date,trade_date,trade_close,reporting_lag_days,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
ADBE,2023-11-30,19409000000.0,,17606000000.0,0.10240826990798602,2024-02-28,2024-02-28,551.8200073242188,90,-0.13450038098581585,2024-05-29,0.01580220105720387,2024-08-28,-0.20133377664619445,2025-03-03
ABBV,2023-12-31,54318000000.0,,58054000000.0,-0.06435387742446685,2024-03-30,2024-04-01,167.3575439453125,90,-0.048677309074517505,2024-07-01,0.1128309918431385,2024-09-30,0.17650254231786744,2025-04-02
ABT,2023-12-31,40109000000.0,,43653000000.0,-0.08118571461297042,2024-03-30,2024-04-01,107.15580749511719,90,-0.07474514646575614,2024-07-01,0.027596477240574346,2024-09-30,0.20098687615903188,2025-04-02
AEP,2023-12-31,18982000000.0,,19639500000.0,-0.03347844904401842,2024-03-30,2024-04-01,78.22683715820312,90,0.04229242975075076,2024-07-01,0.23634046167164136,2024-09-30,0.32331966105120014,2025-04-02
AMD,2023-12-31,22680000000.0,,23601000000.0,-0.039023770179229644,2024-03-30,2024-04-01,183.33999633789062,90,-0.13990397299458945,2024-07-01,-0.10505069756486896,2024-09-30,-0.43842041485197714,2025-04-02
AMGN,2023-12-31,28190000000.0,,26323000000.0,0.07092656612088288,2024-03-30,2024-04-01,264.3163757324219,90,0.10662455971335816,2024-07-01,0.15445867906906718,2024-09-30,0.1129830914458052,2025-04-02
AMT,2023-12-31,10012200000.0,,9645400000.0,0.03802849026478938,2024-03-30,2024-04-01,178.57403564453125,90,0.02268242031036749,2024-07-01,0.22582711072724093,2024-09-30,0.16718792777390612,2025-04-02
AMZN,2023-12-31,574785000000.0,,513983000000.0,0.1182957412988368,2024-03-30,2024-04-01,180.97000122070312,90,0.08968334872112682,2024-07-01,0.029618171930135162,2024-09-30,0.08310765974848344,2025-04-02
ANET,2023-12-31,5860200000.0,,4381310000.0,0.33754516343285457,2024-03-30,2024-04-01,74.9375,90,0.1899917004404712,2024-07-01,0.28046708031432455,2024-09-30,0.06969145837677226,2025-04-02
AON,2023-12-31,13376000000.0,,12479000000.0,0.07188075967625607,2024-03-30,2024-04-01,324.6966247558594,90,-0.10738624235983507,2024-07-01,0.05445268499676548,2024-09-30,0.21138637995822984,2025-04-02
APH,2023-12-31,12554700000.0,,12623000000.0,-0.005410758139903327,2024-03-30,2024-04-01,56.11781311035156,90,0.18592805847726468,2024-07-01,0.1474693541164036,2024-09-30,0.20144928797246786,2025-04-02
AXP,2023-12-31,60515000000.0,,52862000000.0,0.1447731830048049,2024-03-30,2024-04-01,222.0419158935547,90,0.030422137175494912,2024-07-01,0.19876339178430835,2024-09-30,0.22271255689783875,2025-04-02
BA,2023-12-31,77794000000.0,,66608000000.0,0.16793778525102088,2024-03-30,2024-04-01,189.5,90,-0.014775741697930389,2024-07-01,-0.19767813569323056,2024-09-30,-0.11050133214462399,2025-04-02
BAC,2023-12-31,102769000000.0,,94950000000.0,0.08234860452869941,2024-03-30,2024-04-01,35.81013107299805,90,0.07285022462529867,2024-07-01,0.07093851542240981,2024-09-30,0.14295613561609266,2025-04-02
BL,2023-12-31,589996000.0,,522938000.0,0.12823317486967856,2024-03-30,2024-04-01,64.0,90,-0.24921876192092896,2024-07-01,-0.13843750953674316,2024-09-30,-0.22750002145767212,2025-04-02
BLK,2023-12-31,17859000000.0,,17873000000.0,-0.0007833044256699839,2024-03-30,2024-04-01,791.7700805664062,90,-0.04758493847033707,2024-07-01,0.16287119977620113,2024-09-30,0.19026713795584316,2025-04-02
BMY,2023-12-31,45006000000.0,,46159000000.0,-0.024978877358694973,2024-03-30,2024-04-01,47.55073928833008,90,-0.21154136964836578,2024-07-01,0.002787934769450162,2024-09-30,0.18094829412679725,2025-04-02
BROS,2023-12-31,965776000.0,,739012000.0,0.3068475207439121,2024-03-30,2024-04-01,32.939998626708984,90,0.2704918099233784,2024-07-01,-0.027625983161828294,2024-09-30,0.901943052149369,2025-04-02
BSX,2023-12-31,14240000000.0,,12682000000.0,0.12285128528623246,2024-03-30,2024-04-01,68.0999984741211,90,0.12202651063415515,2024-07-01,0.23054339103403843,2024-09-30,0.46916307332632545,2025-04-02
BX,2023-12-31,7006649000.0,,7132632000.0,-0.01766290480148147,2024-03-30,2024-04-01,122.3078384399414,90,-0.06084130173456859,2024-07-01,0.1834139233951837,2024-09-30,0.15681330820472894,2025-04-02
C,2023-12-31,78090000000.0,,74480000000.0,0.04846938775510212,2024-03-30,2024-04-01,59.50568771362305,90,0.008210174729129438,2024-07-01,0.004591494910045624,2024-09-30,0.16984646317447738,2025-04-02
CAT,2023-12-31,67060000000.0,,59427000000.0,0.1284433001834182,2024-03-30,2024-04-01,352.8076171875,90,-0.09199000069199359,2024-07-01,0.0835881599889281,2024-09-30,-0.06609040896823748,2025-04-02
CB,2023-12-31,49826000000.0,,43055000000.0,0.15726396469631876,2024-03-30,2024-04-01,252.45533752441406,90,-0.006588732137787656,2024-07-01,0.12784020079162706,2024-09-30,0.1869202334276403,2025-04-02
CDNS,2023-12-31,4089986000.0,,3561718000.0,0.1483183115563893,2024-03-30,2024-04-01,312.1300048828125,90,-0.0038765624456142955,2024-07-01,-0.13167592176518372,2024-09-30,-0.15118701087107433,2025-04-02
CELH,2023-12-31,1318014000.0,,653604000.0,1.0165329465547948,2024-03-30,2024-04-01,82.52999877929688,90,-0.2991639281703541,2024-07-01,-0.6200169505125644,2024-09-30,-0.5547073725485265,2025-04-02
CI,2023-12-31,195187000000.0,,180031000000.0,0.08418550138587233,2024-03-30,2024-04-01,350.51336669921875,90,-0.10016183712122861,2024-07-01,-0.040859781037544174,2024-09-30,-0.07266789730673706,2025-04-02
CL,2023-12-31,19457000000.0,,17967000000.0,0.08292981577336223,2024-03-30,2024-04-01,84.54302978515625,90,0.07898179840060982,2024-07-01,0.17835998983505785,2024-09-30,0.07325598688375945,2025-04-02
CME,2023-12-31,5578900000.0,,5019400000.0,0.11146750607642342,2024-03-30,2024-04-01,195.16986083984375,90,-0.07262421024354349,2024-07-01,0.052164971730917165,2024-09-30,0.2955940009938509,2025-04-02
CMG,2023-12-31,9871649000.0,,8634652000.0,0.1432596241284536,2024-03-30,2024-04-01,57.540000915527344,90,0.07420925251691113,2024-07-01,0.0013903026604893398,2024-09-30,-0.09593327024564025,2025-04-02
COIN,2023-12-31,3108383000.0,,3194208000.0,-0.02686894529097672,2024-03-30,2024-04-01,252.11000061035156,90,-0.07433265418981794,2024-07-01,-0.29328468629724913,2024-09-30,-0.27432471339762354,2025-04-02
COP,2023-12-31,56141000000.0,,78494000000.0,-0.28477335847325913,2024-03-30,2024-04-01,120.0191421508789,90,-0.10562998290843217,2024-07-01,-0.1706857521977575,2024-09-30,-0.1515564438427225,2025-04-02
CROX,2023-12-31,3962347000.0,,3554985000.0,0.11458895044564188,2024-03-30,2024-04-01,145.75,90,0.013722126929674117,2024-07-01,-0.006449416407590003,2024-09-30,-0.2347169748505843,2025-04-02
CSX,2023-12-31,14657000000.0,,14853000000.0,-0.013195987342624393,2024-03-30,2024-04-01,35.70658493041992,90,-0.08342924405895691,2024-07-01,-0.05443616084883052,2024-09-30,-0.17959247316342575,2025-04-02
CVX,2023-12-31,196913000000.0,,235717000000.0,-0.16462113466572204,2024-03-30,2024-04-01,145.91607666015625,90,-0.006157116212104574,2024-07-01,-0.054425418780945534,2024-09-30,0.09173119130091778,2025-04-02
DDOG,2023-12-31,2128359000.0,,1675100000.0,0.2705862336576921,2024-03-30,2024-04-01,123.1500015258789,90,0.05968329990297683,2024-07-01,-0.06569227663050503,2024-09-30,-0.17409664779338896,2025-04-02
DHR,2023-12-31,23890000000.0,,26643000000.0,-0.10332920466914386,2024-03-30,2024-04-01,244.93020629882812,90,-0.012177553768917049,2024-07-01,0.12429925068587555,2024-09-30,-0.16810626083916358,2025-04-02
DPZ,2023-12-31,4479358000.0,,4537158000.0,-0.012739252192672135,2024-03-30,2024-04-01,478.9837341308594,90,0.026071561754734907,2024-07-01,-0.12337439796617322,2024-09-30,-0.0384892610474995,2025-04-02
DUK,2023-12-31,29060000000.0,,28768000000.0,0.01015016685205783,2024-03-30,2024-04-01,88.56416320800781,90,0.04450072801470539,2024-07-01,0.22349224458882033,2024-09-30,0.3016174141875603,2025-04-02
DUOL,2023-12-31,531109000.0,,369495000.0,0.4373915749874828,2024-03-30,2024-04-01,218.2100067138672,90,-0.10531144438513851,2024-07-01,0.29242463835985744,2024-09-30,0.5469501268162598,2025-04-02
DXCM,2023-12-31,3622300000.0,,2909800000.0,0.2448621898412262,2024-03-30,2024-04-01,137.94000244140625,90,-0.18682038434360215,2024-07-01,-0.5139915925113572,2024-09-30,-0.5060171220557086,2025-04-02
ECL,2023-12-31,15320200000.0,,14187800000.0,0.07981505236893671,2024-03-30,2024-04-01,223.38746643066406,90,0.03563919504756896,2024-07-01,0.12537752082132148,2024-09-30,0.12385039509434503,2025-04-02
ELV,2023-12-31,171340000000.0,,156595000000.0,0.09416009451131901,2024-03-30,2024-04-01,498.0403747558594,90,0.03909248325361103,2024-07-01,0.013848832708417191,2024-09-30,-0.155982489232243,2025-04-02
ENPH,2023-12-31,2290786000.0,,2330853000.0,-0.01718984423299108,2024-03-30,2024-04-01,118.29000091552734,90,-0.17778340194886555,2024-07-01,-0.04455156168461205,2024-09-30,-0.47146842527788857,2025-04-02
EOG,2023-12-31,23182000000.0,,29492000000.0,-0.21395632713956325,2024-03-30,2024-04-01,120.73572540283203,90,-0.018211100827149385,2024-07-01,-0.039574793746606995,2024-09-30,0.030009277050412342,2025-04-02
EQIX,2023-12-31,8188000000.0,,7263000000.0,0.12735784111248805,2024-03-30,2024-04-01,766.1036987304688,90,-0.045345611795813534,2024-07-01,0.12119893469030796,2024-09-30,0.060828198695601854,2025-04-02
ETN,2023-12-31,23196000000.0,,20752000000.0,0.11777178103315333,2024-03-30,2024-04-01,303.4672546386719,90,0.004083159568846195,2024-07-01,0.06896721294165387,2024-09-30,-0.0786149256613149,2025-04-02
EXC,2023-12-31,21727000000.0,,19078000000.0,0.13885103260299814,2024-03-30,2024-04-01,34.56013107299805,90,-0.06269258987932425,2024-07-01,0.11134922217889254,2024-09-30,0.28443118233863673,2025-04-02
FCX,2023-12-31,22855000000.0,,22780000000.0,0.0032923617208078237,2024-03-30,2024-04-01,45.987030029296875,90,0.025851199446812467,2024-07-01,0.06095266251377818,2024-09-30,-0.18252866972857573,2025-04-02
GD,2023-12-31,42272000000.0,,39407000000.0,0.07270281929606415,2024-03-30,2024-04-01,279.0680236816406,90,-0.007764338371224366,2024-07-01,0.04684684270907735,2024-09-30,-0.03406276624607507,2025-04-02
GE,2023-12-31,35348000000.0,,29139000000.0,0.21308212361440004,2024-03-30,2024-04-01,138.04588317871094,90,0.1379089695727025,2024-07-01,0.3541453358719351,2024-09-30,0.4395082334150364,2025-04-02
