feature_set,forward_window,regression_bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
income_only,fwd_3m_return,all,5122,12,-0.04135672106358723,-0.11254881635187694,-0.12889253155949768,0.001160566636512506,-0.0081284246347088,0.4692682926829268,0.05073256368201849,-0.04957199704550599
price_only,fwd_3m_return,all,5122,12,-0.024523945006410974,0.043945261734674015,0.02188390249852362,0.0670124793764076,0.0543142763917439,0.6302439024390244,0.036487160044881485,0.030525319331526114
financial_only,fwd_3m_return,large_cap,2336,12,-0.03649993397001894,-0.02530674289274616,-0.05478864603706855,0.041848537141296535,0.01956816341603915,0.5427350427350427,0.04923920783405645,-0.007390670692759914
financial_plus_price,fwd_3m_return,large_cap,2336,12,-0.05221953466348572,0.025805979855934854,0.005486221484752977,0.058756576567342386,0.0447437281512601,0.6004273504273504,0.042660633350125335,0.01609594321721705
income_only,fwd_3m_return,large_cap,2336,12,-0.03463733044364403,-0.07138032531616925,-0.09808258204653328,0.032336831014769675,0.015780909188834052,0.5299145299145299,0.055956922475510124,-0.02362009146074045
price_only,fwd_3m_return,large_cap,2336,12,-0.017630593482008683,0.06641245676947252,0.027306376134644383,0.09231090271164329,0.0722267245920862,0.6752136752136753,0.04735981614947645,0.044951086562166835
financial_only,fwd_3m_return,mid_cap,2559,12,-0.050145459243039925,-0.06470428465701787,-0.07657584319803379,0.01415586061701795,0.0066556273882778,0.51953125,0.040157327506743154,-0.026001466889725204
financial_plus_price,fwd_3m_return,mid_cap,2559,12,-0.07564755730402717,-0.02569969554913277,-0.031051825090491456,0.041372465786044706,0.016194004117224,0.55078125,0.0414022080336462,-2.9742247601494132e-05
income_only,fwd_3m_return,mid_cap,2559,12,-0.045339511098403174,-0.10270337290637857,-0.11189009336219578,-0.005606139337349374,-0.0044076408146998,0.474609375,0.03930555040187436,-0.044911689739223735
price_only,fwd_3m_return,mid_cap,2559,12,-0.047092467045341646,-0.008152682965484359,-0.004108457238720535,0.05024617907636251,0.04404533798516305,0.6015625,0.03753733780063074,0.01270884127573177
financial_only,fwd_6m_return,all,5080,11,-0.0458072154332978,-0.0554508555277584,-0.10409273785186855,0.05047691115664466,0.0208426322177699,0.5403543307086615,0.08740789732696576,-0.036930986170321096
financial_plus_price,fwd_6m_return,all,5080,11,-0.042913096824327424,0.05013830178391781,-0.04774972745704032,0.11668784535761666,0.059566214467247955,0.5885826771653543,0.0902271262455511,0.02646071911206556
income_only,fwd_6m_return,all,5080,11,-0.042179015427209476,-0.08868879220922878,-0.12908006745536355,0.024409861045786088,0.0067351562521582,0.5127952755905512,0.09885544802009866,-0.07444558697431257
