forward_window,regression_bucket,condition,observations,avg_prediction,mean_return,median_return,hit_rate,avg_revenue_growth,avg_operating_margin,avg_fcf_margin
fwd_3m_return,all,rev_growth_30pct_positive_margin,39,0.02087513837039551,0.14311008394457256,0.060003799158598214,0.6153846153846154,0.6797480291338103,0.25641157133131015,0.15945664675787258
fwd_3m_return,all,rev_growth_30pct_positive_fcf,41,0.02499354734015921,0.12129710849337848,0.09034776989291338,0.6097560975609756,0.6230585741437022,0.23680233244819432,0.23050075648125903
fwd_3m_return,all,revenue_growth_30pct,47,0.022858498479965947,0.11615858691857818,0.04689234720916646,0.574468085106383,0.642690113056575,0.22951348601643495,0.17943976022104557
fwd_3m_return,all,rev_growth_30pct_model_top_half,25,0.07243389801574873,0.1109617541760845,0.09034776989291338,0.52,0.5642298605808762,0.2310328053502808,0.21371905288539872
fwd_3m_return,all,model_top_quintile,204,0.11950565795271062,0.005205198409658403,0.005690807051184299,0.5196078431372549,-0.005628594183395495,0.18532695022581913,0.1992803550314764
fwd_3m_return,all,positive_fcf_top_model,191,0.11969784774722962,0.005090544296196138,0.005416679382324263,0.5130890052356021,0.004988244667006357,0.1973197921826122,0.2227205622622219
fwd_3m_return,large_cap,rev_growth_30pct_positive_margin,22,0.08480728215952614,0.2746280279751892,0.16872574136797258,0.7727272727272727,0.6986976392747631,0.3290605210442824,0.20298977226810547
fwd_3m_return,large_cap,revenue_growth_30pct,27,0.08114491836948465,0.2169877165257695,0.13341318609272523,0.7037037037037037,0.6613444481788383,0.27515386374973544,0.2195836641789072
fwd_3m_return,large_cap,rev_growth_30pct_positive_fcf,24,0.08462670208765821,0.19626526397305252,0.1404364841940996,0.7083333333333334,0.6407674164793064,0.27152704253038884,0.2749289221853428
fwd_3m_return,large_cap,rev_growth_30pct_model_top_half,19,0.10646555180188581,0.18000747260461827,0.14745978229547396,0.6842105263157895,0.6504403817323452,0.24347501474724456,0.23650435989745397
fwd_3m_return,large_cap,model_top_quintile,93,0.15151781973110487,0.062470080900396185,0.02911900204724094,0.5806451612903226,0.09822046749349682,0.19334861682563645,0.1179569039237751
fwd_3m_return,large_cap,positive_fcf_top_model,81,0.15152768179013112,0.0521556752229194,0.0244363265132006,0.5555555555555556,0.09347893152058813,0.20801963091963363,0.15734278106093624
fwd_3m_return,low_cap,model_top_quintile,5,0.01136542670708893,0.040655227114778536,-0.014539337670544605,0.4,0.10344834244428953,0.26734508769825466,0.29266170192362734
fwd_3m_return,low_cap,positive_fcf_top_model,5,0.01136542670708893,0.040655227114778536,-0.014539337670544605,0.4,0.10344834244428953,0.26734508769825466,0.29266170192362734
fwd_3m_return,mid_cap,rev_growth_30pct_positive_fcf,16,-0.05577678947463424,0.027372663508976797,0.00675035091507914,0.5,0.5892692957841249,0.1835931627554922,0.17066427583372937
fwd_3m_return,mid_cap,revenue_growth_30pct,18,-0.0621209060579129,-0.0037991304033625187,-0.013900337269018459,0.4444444444444444,0.602573246952888,0.16581749699682427,0.13724419083989442
fwd_3m_return,mid_cap,rev_growth_30pct_positive_margin,15,-0.06467611574620383,-0.008646195190250413,-0.0161603217275067,0.4666666666666667,0.6423338869663606,0.1658174969968243,0.11456799141454427
fwd_3m_return,mid_cap,model_top_quintile,103,0.07203914786158089,-0.021493050273520033,-0.007496589447742341,0.4563106796116505,-0.047833311815042835,0.135197687273621,0.16460119819436528
fwd_3m_return,mid_cap,positive_fcf_top_model,97,0.07283005741126111,-0.024963272038210936,-0.015181623873524175,0.44329896907216493,-0.0410262971676661,0.1505165081741234,0.18262787836478508
fwd_6m_return,all,rev_growth_30pct_positive_margin,16,0.1648123943428598,0.6774321536787872,0.5767813148458746,0.75,0.5666564716768858,0.2526646190684585,0.15770208208657122
fwd_6m_return,all,revenue_growth_30pct,18,0.16102878136255852,0.6127789848577676,0.39772066010616125,0.7222222222222222,0.5516073514595567,0.2526646190684585,0.16424657836767356
fwd_6m_return,all,rev_growth_30pct_positive_fcf,16,0.16658240505536703,0.5426308875212735,0.39772066010616125,0.75,0.564047847613539,0.23476173851620605,0.21963188786028412
fwd_6m_return,all,rev_growth_30pct_model_top_half,16,0.17141091128731137,0.5140865326565635,0.3803405592932604,0.6875,0.5632670016048581,0.261239767847081,0.1792718653117416
fwd_6m_return,all,positive_fcf_top_model,77,0.1727899210330779,0.17858060280990398,0.06454805413627418,0.6363636363636364,0.16066191642987615,0.25322006154589344,0.24935322514685468
fwd_6m_return,all,model_top_quintile,96,0.16946538699056124,0.15560757927961147,0.06213829259390713,0.6354166666666666,0.13836802311746924,0.24407090798695671,0.1662316328358617
fwd_6m_return,large_cap,rev_growth_30pct_positive_margin,12,0.1538311964967107,0.8908784998680135,0.7891793523803259,0.8333333333333334,0.5838459355017988,0.32350759303567456,0.18323221017152624
fwd_6m_return,large_cap,revenue_growth_30pct,13,0.15243496160864115,0.8406862714647318,0.76028207024719,0.8461538461538461,0.5820134723422424,0.32350759303567456,0.1932072680399581
fwd_6m_return,large_cap,rev_growth_30pct_positive_fcf,11,0.17321166153839396,0.7800903638129156,0.76028207024719,0.9090909090909091,0.6056371250903413,0.3126121550559643,0.2790332981514435
fwd_6m_return,large_cap,rev_growth_30pct_model_top_half,8,0.20386136725992196,0.7211091999904946,0.741433839299927,1.0,0.6856625894880952,0.3454105549273705,0.35260149348552383
fwd_6m_return,large_cap,model_top_quintile,43,0.21766230986369806,0.46909595040075036,0.1411012246978578,0.7209302325581395,0.16511002270632255,0.2441716574652981,0.23377473335510918
fwd_6m_return,large_cap,positive_fcf_top_model,40,0.2146091378297354,0.2996343372751807,0.12610316370485364,0.7,0.17326407182477951,0.2677503199069561,0.2587183081488892
fwd_6m_return,mid_cap,model_top_quintile,49,0.19914784280701026,0.04610164471101891,0.006209366367938118,0.5102040816326531,0.09956362348043299,0.21420179442545648,0.11879240956409945
fwd_6m_return,mid_cap,positive_fcf_top_model,33,0.20588111788066094,0.020692827555096546,-0.020016784864155146,0.45454545454545453,0.12527818709719382,0.20885091593026256,0.2413771259269253
fwd_6m_return,mid_cap,revenue_growth_30pct,5,0.1596762017611478,0.020220039679660705,-0.03695210819534589,0.4,0.47255143716457404,0.04013569716681043,0.08894878521973362
fwd_6m_return,mid_cap,rev_growth_30pct_positive_fcf,5,0.1596762017611478,0.020220039679660705,-0.03695210819534589,0.4,0.47255143716457404,0.04013569716681043,0.08894878521973362
