symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities
ANET,2024-12-31,,7003100000.0,4491300000.0,2944600000.0,2852100000.0,3006600000.0,996700000.0,550000000.0,3708200000.0,-32000000.0,3676200000.0,14043900000.0,,9994800000.0,2762400000.0,11910900000.0,2732200000.0
ANET,2025-12-31,,9005700000.0,5768700000.0,3856100000.0,3511400000.0,3928700000.0,1237300000.0,675300000.0,4371900000.0,-119500000.0,4252400000.0,19448600000.0,,12370500000.0,1963900000.0,16387000000.0,5376500000.0
AON,2021-12-31,,,,,,,,,,,,,,,,,
AON,2022-12-31,,12479000000.0,6002000000.0,3669000000.0,2589000000.0,3826000000.0,,1560000000.0,3219000000.0,-196000000.0,3023000000.0,32704000000.0,11677000000.0,-529000000.0,690000000.0,20723000000.0,20306000000.0
AON,2023-12-31,,13376000000.0,6474000000.0,3920000000.0,2564000000.0,3909000000.0,,1764000000.0,3435000000.0,-252000000.0,3183000000.0,33959000000.0,12032000000.0,-826000000.0,778000000.0,21704000000.0,21651000000.0
AON,2024-12-31,,15698000000.0,7415000000.0,4224000000.0,2654000000.0,4936000000.0,,1966000000.0,3035000000.0,-218000000.0,2817000000.0,48965000000.0,17892000000.0,6121000000.0,1085000000.0,23432000000.0,22995000000.0
AON,2025-12-31,,17181000000.0,8196000000.0,4709000000.0,3695000000.0,6540000000.0,,1953000000.0,3481000000.0,-263000000.0,3218000000.0,50784000000.0,16071000000.0,9352000000.0,1195000000.0,25774000000.0,23226000000.0
APD,2021-09-30,,,,,,,,,,,,,,,,,
APD,2022-09-30,,12698600000.0,3360100000.0,2412500000.0,2256100000.0,4220900000.0,102900000.0,900600000.0,3230200000.0,-2926500000.0,303700000.0,27192600000.0,8326900000.0,13144000000.0,2711000000.0,6282900000.0,3465800000.0
APD,2023-09-30,,12600000000.0,3767000000.0,2739200000.0,2300200000.0,4418200000.0,105600000.0,957000000.0,3206300000.0,-4626400000.0,-1420100000.0,32002500000.0,11031600000.0,14312900000.0,1617000000.0,5200500000.0,3895800000.0
APD,2024-09-30,,12100600000.0,3931900000.0,2947500000.0,3828200000.0,6491100000.0,100200000.0,942400000.0,3646700000.0,-6796700000.0,-3150000000.0,39574600000.0,15006100000.0,17036500000.0,2979700000.0,6363000000.0,4179600000.0
APD,2025-09-30,,12037300000.0,3781300000.0,2889000000.0,-394500000.0,1337500000.0,96300000.0,906100000.0,3256800000.0,-7022600000.0,-3765800000.0,41059500000.0,18406200000.0,15024900000.0,1856000000.0,5825800000.0,4218600000.0
APH,2021-12-31,,,,,,,,,,,,,,,,,
APH,2022-12-31,,12623000000.0,4028200000.0,2607300000.0,1902300000.0,2988700000.0,,1420900000.0,2174600000.0,-383800000.0,1790800000.0,15326200000.0,4577700000.0,7015600000.0,1373100000.0,6479100000.0,2676100000.0
APH,2023-12-31,,12554700000.0,4084100000.0,2594200000.0,1928000000.0,3000700000.0,,1489900000.0,2528700000.0,-372800000.0,2155900000.0,16526400000.0,4337300000.0,8346500000.0,1475000000.0,6835300000.0,3152700000.0
APH,2024-12-31,,15222700000.0,5139700000.0,3284300000.0,2424000000.0,3801400000.0,,1855400000.0,2814700000.0,-665400000.0,2149300000.0,21440200000.0,6886100000.0,9792000000.0,3317000000.0,9686000000.0,4083800000.0
APH,2025-12-31,,23094700000.0,8517700000.0,5972000000.0,4270300000.0,6890900000.0,,2545700000.0,5374700000.0,-996600000.0,4378100000.0,36236900000.0,15502000000.0,13413100000.0,11130600000.0,20267200000.0,6802800000.0
ASAN,2023-01-31,,547212000.0,490653000.0,-407826000.0,-407768000.0,-388224000.0,297209000.0,601270000.0,-160058000.0,-7157000.0,-167215000.0,954963000.0,271539000.0,356574000.0,526563000.0,660391000.0,332316000.0
ASAN,2024-01-31,,652504000.0,587980000.0,-269997000.0,-257030000.0,-235029000.0,324688000.0,533289000.0,-17931000.0,-13161000.0,-31092000.0,961960000.0,277881000.0,326396000.0,236663000.0,659716000.0,367213000.0
ASAN,2025-01-31,,723876000.0,646683000.0,-266735000.0,-255536000.0,-229545000.0,341467000.0,571951000.0,14925000.0,-12282000.0,2643000.0,891415000.0,263090000.0,227523000.0,184728000.0,600741000.0,415817000.0
ASAN,2026-01-31,,790806000.0,704047000.0,-197331000.0,-189024000.0,-158982000.0,301496000.0,599882000.0,90361000.0,-13379000.0,76982000.0,844088000.0,249418000.0,154117000.0,199835000.0,593348000.0,501020000.0
AVGO,2021-10-31,,,,,,,,,,,,,,,,,
AVGO,2022-10-31,,33203000000.0,22095000000.0,14282000000.0,11495000000.0,19155000000.0,4919000000.0,1382000000.0,16736000000.0,-424000000.0,16312000000.0,73249000000.0,39515000000.0,22709000000.0,12416000000.0,18504000000.0,7052000000.0
AVGO,2023-10-31,,35819000000.0,24690000000.0,16451000000.0,14082000000.0,20554000000.0,5253000000.0,1592000000.0,18085000000.0,-452000000.0,17633000000.0,72861000000.0,39229000000.0,23988000000.0,14189000000.0,20847000000.0,7405000000.0
AVGO,2024-10-31,,51574000000.0,32509000000.0,14996000000.0,5895000000.0,23879000000.0,9310000000.0,4959000000.0,19962000000.0,-548000000.0,19414000000.0,165645000000.0,67566000000.0,67678000000.0,9348000000.0,19595000000.0,16697000000.0
AVGO,2025-10-31,,63887000000.0,43294000000.0,26075000000.0,23126000000.0,34714000000.0,10977000000.0,4211000000.0,27537000000.0,-623000000.0,26914000000.0,171092000000.0,65136000000.0,81292000000.0,16178000000.0,31573000000.0,18514000000.0
AXP,2021-12-31,,,,,,,,,,,,,,,,,
AXP,2022-12-31,,52862000000.0,,,7514000000.0,,,12710000000.0,21079000000.0,-1855000000.0,19224000000.0,228354000000.0,43921000000.0,24711000000.0,33537000000.0,,
AXP,2023-12-31,,60515000000.0,,,8374000000.0,,,13280000000.0,18559000000.0,-1563000000.0,16996000000.0,261108000000.0,49159000000.0,28057000000.0,46530000000.0,,
AXP,2024-12-31,,65949000000.0,,,10129000000.0,,,14238000000.0,14050000000.0,-1911000000.0,12139000000.0,271461000000.0,51089000000.0,30264000000.0,40552000000.0,,
AXP,2025-12-31,,72230000000.0,,,10833000000.0,,,15268000000.0,18428000000.0,-2425000000.0,16003000000.0,300052000000.0,57759000000.0,33474000000.0,47708000000.0,,
AZO,2021-08-31,,,,,,,,,,,,,,,,,
AZO,2022-08-31,,16252230000.0,8472650000.0,3270729000.0,2429604000.0,3719000000.0,,5201921000.0,3211135000.0,-672391000.0,2538744000.0,15275043000.0,9296349000.0,-3538913000.0,264380000.0,6627984000.0,8588393000.0
AZO,2023-08-31,,17457209000.0,9070422000.0,3473986000.0,2528426000.0,3983617000.0,,5596436000.0,2940788000.0,-796657000.0,2144131000.0,15985878000.0,10929767000.0,-4349894000.0,277054000.0,6779426000.0,8511856000.0
AZO,2024-08-31,,18490268000.0,9817052000.0,3788708000.0,2662427000.0,4349775000.0,,6028344000.0,3004116000.0,-1072696000.0,1931420000.0,17176538000.0,12366969000.0,-4749614000.0,298172000.0,7306759000.0,8714243000.0
AZO,2025-08-31,,18938717000.0,9966474000.0,3610156000.0,2498247000.0,4234327000.0,,6356318000.0,3117337000.0,-1327257000.0,1790080000.0,19355324000.0,12288796000.0,-3414313000.0,271803000.0,8341379000.0,9519397000.0
BA,2022-12-31,,66608000000.0,3530000000.0,-3509000000.0,-4935000000.0,-482000000.0,2852000000.0,4187000000.0,3512000000.0,-1222000000.0,2290000000.0,137100000000.0,57277000000.0,-15883000000.0,14614000000.0,109523000000.0,90052000000.0
BA,2023-12-31,,77794000000.0,7724000000.0,-821000000.0,-2222000000.0,2315000000.0,3377000000.0,5168000000.0,5960000000.0,-1527000000.0,4433000000.0,137012000000.0,52603000000.0,-17233000000.0,12691000000.0,109275000000.0,95827000000.0
BA,2024-12-31,,66517000000.0,-1991000000.0,-10824000000.0,-11817000000.0,-7649000000.0,3812000000.0,5021000000.0,-12080000000.0,-2318000000.0,-14398000000.0,156363000000.0,54188000000.0,-3908000000.0,13801000000.0,127998000000.0,97078000000.0
BA,2025-12-31,,89463000000.0,4289000000.0,-5416000000.0,2235000000.0,7359000000.0,3615000000.0,6090000000.0,1065000000.0,-2951000000.0,-1886000000.0,168235000000.0,54433000000.0,5454000000.0,10921000000.0,128459000000.0,108115000000.0
BAC,2021-12-31,,,,,,,,,,,,,,,,,
BAC,2022-12-31,,94950000000.0,,,27528000000.0,,,45946000000.0,-6327000000.0,,-6327000000.0,3051375000000.0,302914000000.0,273197000000.0,237462000000.0,,
BAC,2023-12-31,,102769000000.0,,,26305000000.0,,,49815000000.0,44982000000.0,,44982000000.0,3180151000000.0,334302000000.0,291646000000.0,341419000000.0,,
BAC,2024-12-31,,105856000000.0,,,26973000000.0,,,49623000000.0,-8805000000.0,,-8805000000.0,3261299000000.0,326670000000.0,293963000000.0,296486000000.0,,
BAC,2025-12-31,,113097000000.0,,,30509000000.0,,,52246000000.0,12613000000.0,,12613000000.0,3411738000000.0,365904000000.0,303243000000.0,239319000000.0,,
BILL,2021-06-30,,,,,,,,,,,,,,,,,
BILL,2022-06-30,,641959000.0,496955000.0,-316818000.0,-326361000.0,-233756000.0,219818000.0,528181000.0,-18093000.0,-15636000.0,-33729000.0,9256026000.0,1855810000.0,4043694000.0,1596542000.0,6279390000.0,3408657000.0
BILL,2023-06-30,,1058468000.0,864491000.0,-295773000.0,-223725000.0,-119000000.0,314632000.0,764912000.0,187768000.0,-31203000.0,156565000.0,9636018000.0,1912305000.0,4085969000.0,1617151000.0,6673164000.0,3753436000.0
BILL,2024-06-30,,1290172000.0,1055556000.0,-146577000.0,-28878000.0,89788000.0,336754000.0,756202000.0,278771000.0,-20893000.0,257878000.0,9178813000.0,976847000.0,4134201000.0,985941000.0,6314817000.0,4063024000.0
BILL,2025-06-30,,1462570000.0,1190467000.0,-80602000.0,23799000.0,133677000.0,340059000.0,825624000.0,350644000.0,-40970000.0,309674000.0,10063982000.0,1772842000.0,3914040000.0,1038346000.0,7238793000.0,4588660000.0
BL,2022-12-31,,522938000.0,393553000.0,-52357000.0,-29391000.0,1255000.0,108893000.0,337017000.0,56013000.0,-30182000.0,25831000.0,1943656000.0,1401315000.0,111868000.0,200968000.0,1249567000.0,367821000.0
BL,2023-12-31,,589996000.0,443203000.0,25312000.0,52833000.0,116506000.0,103207000.0,314684000.0,126613000.0,-27597000.0,99016000.0,2100765000.0,1410469000.0,260881000.0,271117000.0,1407324000.0,642565000.0
BL,2024-12-31,,653336000.0,491371000.0,20256000.0,161174000.0,183801000.0,100973000.0,370142000.0,190836000.0,-26840000.0,163996000.0,1825036000.0,916602000.0,446669000.0,885915000.0,1092404000.0,422243000.0
BL,2025-12-31,,700427000.0,527042000.0,40178000.0,24518000.0,104912000.0,109202000.0,377662000.0,169567000.0,-34671000.0,134896000.0,1759519000.0,920407000.0,332326000.0,390034000.0,1025209000.0,695377000.0
BLK,2022-12-31,,17873000000.0,8684000000.0,6476000000.0,5178000000.0,6920000000.0,,2057000000.0,4956000000.0,-533000000.0,4423000000.0,117628000000.0,8489000000.0,37744000000.0,7416000000.0,18221000000.0,1294000000.0
BLK,2023-12-31,,17859000000.0,8582000000.0,6339000000.0,5502000000.0,7874000000.0,,2092000000.0,4165000000.0,-344000000.0,3821000000.0,123211000000.0,9702000000.0,39347000000.0,8736000000.0,19378000000.0,1240000000.0
BLK,2024-12-31,,20407000000.0,10086000000.0,7538000000.0,6369000000.0,9362000000.0,,2257000000.0,4956000000.0,-255000000.0,4701000000.0,138615000000.0,14222000000.0,47495000000.0,12762000000.0,25114000000.0,1536000000.0
BLK,2025-12-31,,24216000000.0,11310000000.0,7909000000.0,5553000000.0,9359000000.0,,2626000000.0,3927000000.0,-375000000.0,3552000000.0,169998000000.0,14996000000.0,55888000000.0,11468000000.0,27424000000.0,1740000000.0
BMY,2021-12-31,,,,,,,,,,,,,,,,,
BMY,2022-12-31,,46159000000.0,36022000000.0,9104000000.0,6327000000.0,19221000000.0,9509000000.0,7814000000.0,13066000000.0,-1118000000.0,11948000000.0,96820000000.0,40717000000.0,31061000000.0,9123000000.0,27273000000.0,21890000000.0
BMY,2023-12-31,,45006000000.0,34313000000.0,8195000000.0,8025000000.0,19366000000.0,9299000000.0,7772000000.0,13860000000.0,-1209000000.0,12651000000.0,95159000000.0,41464000000.0,29430000000.0,11464000000.0,31770000000.0,22262000000.0
BMY,2024-12-31,,48300000000.0,34332000000.0,5887000000.0,-8948000000.0,3168000000.0,11159000000.0,8414000000.0,15190000000.0,-1248000000.0,13942000000.0,92603000000.0,51200000000.0,16335000000.0,10346000000.0,29780000000.0,23774000000.0
BMY,2025-12-31,,48195000000.0,34259000000.0,13724000000.0,7054000000.0,15230000000.0,9951000000.0,7267000000.0,14156000000.0,-1311000000.0,12845000000.0,90038000000.0,47139000000.0,18473000000.0,10209000000.0,29390000000.0,23417000000.0
BOOT,2022-03-31,,1488256000.0,575073000.0,258338000.0,192450000.0,285725000.0,,316735000.0,88864000.0,-60443000.0,28421000.0,1199855000.0,306250000.0,599676000.0,20674000.0,541831000.0,336468000.0
BOOT,2023-03-31,,1657615000.0,610572000.0,231787000.0,170553000.0,267703000.0,,378785000.0,88887000.0,-124534000.0,-35647000.0,1517381000.0,447719000.0,776450000.0,18193000.0,669173000.0,374842000.0
BOOT,2024-03-31,,1667009000.0,614424000.0,198214000.0,146996000.0,249195000.0,,416210000.0,236080000.0,-118782000.0,117298000.0,1705592000.0,466757000.0,943643000.0,75847000.0,729649000.0,312808000.0
