forward_window,regression_bucket,test_year,feature,standardized_coef
fwd_12m_return,all,2025,gross_margin,-0.06219197990382476
fwd_12m_return,all,2025,operating_margin,0.011190962373091803
fwd_12m_return,all,2025,net_margin,0.028927163193018753
fwd_12m_return,all,2025,ebitda_margin,0.019324888121223283
fwd_12m_return,all,2025,cfo_margin,0.028887440099179693
fwd_12m_return,all,2025,fcf_margin,0.021863693621598977
fwd_12m_return,all,2025,capex_to_revenue,-0.008237708503819904
fwd_12m_return,all,2025,rd_to_revenue,0.0055961223217652015
fwd_12m_return,all,2025,sga_to_revenue,-0.05504343077011417
fwd_12m_return,all,2025,debt_to_assets,-0.03169012048181975
fwd_12m_return,all,2025,debt_to_equity,0.007033451903276806
fwd_12m_return,all,2025,cash_to_assets,-0.05066483628558672
fwd_12m_return,all,2025,current_ratio,0.009918204636566208
fwd_12m_return,all,2025,asset_turnover,0.04765377452481982
fwd_12m_return,large_cap,2025,revenue_growth_yoy,0.05689264534632002
fwd_12m_return,large_cap,2025,revenue_growth_accel,0.0
fwd_12m_return,large_cap,2025,gross_margin,-0.030807997054871222
fwd_12m_return,large_cap,2025,operating_margin,-0.020243827312934542
fwd_12m_return,large_cap,2025,net_margin,0.016802117871378332
fwd_12m_return,large_cap,2025,ebitda_margin,0.012463009107010417
fwd_12m_return,large_cap,2025,cfo_margin,0.006361645004239679
fwd_12m_return,large_cap,2025,fcf_margin,0.009183507740534893
fwd_12m_return,large_cap,2025,capex_to_revenue,-0.00409800521025136
fwd_12m_return,large_cap,2025,rd_to_revenue,0.04368654779540708
fwd_12m_return,large_cap,2025,sga_to_revenue,-0.037072480866736986
fwd_12m_return,large_cap,2025,debt_to_assets,-0.031605587134553255
fwd_12m_return,large_cap,2025,debt_to_equity,-0.011199624935267792
fwd_12m_return,large_cap,2025,cash_to_assets,-0.021161143115117215
fwd_12m_return,large_cap,2025,current_ratio,-0.00976686723727154
fwd_12m_return,large_cap,2025,asset_turnover,0.03757711679209999
