forward_window,regression_bucket,condition,observations,avg_prediction,mean_return,median_return,hit_rate,avg_revenue_growth,avg_operating_margin,avg_fcf_margin
fwd_3m_return,large_cap,rev_growth_30pct_positive_fcf,8,0.0780034960316259,0.3150240651072998,0.18584067151993433,0.75,0.6443274664419285,0.32219708169926975,0.2676985034724721
fwd_3m_return,large_cap,model_top_quintile,29,0.07429293257023846,0.14963280275205726,0.11978427271084269,0.6896551724137931,0.2238098460134297,0.2946075958766567,0.20990343345486398
fwd_3m_return,large_cap,positive_fcf_top_model,29,0.07429293257023846,0.14963280275205726,0.11978427271084269,0.6896551724137931,0.2238098460134297,0.2946075958766567,0.20990343345486398
fwd_3m_return,low_cap,revenue_growth_30pct,5,-0.059978855462808366,0.1459451827318565,0.08681562439159629,0.6,0.3453708357476283,-0.03188528098161037,0.09207744141809593
fwd_3m_return,low_cap,model_top_quintile,5,0.07415120438032943,0.013230622663018799,0.008757065272130271,0.6,0.14036240697540867,-0.013265560790455697,0.09651058216199984
fwd_6m_return,all,rev_growth_30pct_positive_margin,9,0.07950225888311008,0.3361924313031386,0.12726328653180374,0.7777777777777778,0.5779112453557693,0.26915974026022904,0.25840353765796187
fwd_6m_return,all,rev_growth_30pct_model_top_half,6,0.12383989846468817,0.31868399858577323,0.2791201004377445,0.6666666666666666,0.5534628284369995,0.2892022565696877,0.22174355284689784
fwd_6m_return,all,rev_growth_30pct_positive_fcf,11,0.06776418815110047,0.28910046287472774,0.12726328653180374,0.7272727272727273,0.5530637007630957,0.2021494708263901,0.24059677527807324
fwd_6m_return,all,revenue_growth_30pct,12,0.05703050197924895,0.2659315296182405,0.12248606914556381,0.75,0.5327469082635751,0.16668418825763814,0.21311250452356212
fwd_6m_return,all,positive_fcf_top_model,31,0.16341191616291756,0.10460159506151348,0.04342178752900572,0.6774193548387096,0.12075849410322935,0.31034123881214704,0.21564896628264335
fwd_6m_return,all,model_top_quintile,34,0.1608355546299866,0.10459109019329578,0.04370010098667665,0.6764705882352942,0.10679120306956648,0.3014368251056915,0.18584819888514661
fwd_6m_return,large_cap,rev_growth_30pct_model_top_half,6,0.22227030274466245,0.5557515701964527,0.5956295018888287,1.0,0.7243547746247728,0.32292946013742474,0.3479619383185002
fwd_6m_return,large_cap,rev_growth_30pct_positive_margin,6,0.20857226313483657,0.5039810401060666,0.5956295018888287,0.8333333333333334,0.6843474676661986,0.3321587459570119,0.29734248078852077
fwd_6m_return,large_cap,revenue_growth_30pct,7,0.20094116474275922,0.4660379835981547,0.43097691434368524,0.8571428571428571,0.6665869600606799,0.3321587459570119,0.29956612102746655
fwd_6m_return,large_cap,rev_growth_30pct_positive_fcf,7,0.20094116474275922,0.4660379835981547,0.43097691434368524,0.8571428571428571,0.6665869600606799,0.3321587459570119,0.29956612102746655
fwd_6m_return,large_cap,model_top_quintile,26,0.1843651820732564,0.26556585299021734,0.1356691377514686,0.8076923076923077,0.23286268170505325,0.2754116174788304,0.19734082049234558
fwd_6m_return,large_cap,positive_fcf_top_model,26,0.1843651820732564,0.26556585299021734,0.1356691377514686,0.8076923076923077,0.23286268170505325,0.2754116174788304,0.19734082049234558
fwd_6m_return,low_cap,model_top_quintile,5,0.2071004958047645,2.020479700316777,1.2867737516768871,0.8,-0.150394723206629,-0.49164863211172644,-0.3963785600492397
fwd_6m_return,low_cap,revenue_growth_30pct,5,-0.07681429136815292,-0.01421750595363933,0.011073263796881339,0.6,0.3453708357476283,-0.03188528098161037,0.09207744141809593
