symbol,quantity,price,current_weight,current_value,target_weight,target_value,latest_price,delta_value,order_shares_estimate,action
BX,0.0,126.3499984741211,0.0,0.0,0.0067659414315668,676.5941431566836,126.3499984741211,676.5941431566836,5.354920073823847,BUY
BL,0.0,33.90999984741211,0.0,0.0,0.0067659414315668,676.5941431566836,33.90999984741211,676.5941431566836,19.9526436508763,BUY
CDNS,0.0,340.94000244140625,0.0,0.0,0.0067659414315668,676.5941431566836,340.94000244140625,676.5941431566836,1.9844962113912188,BUY
CI,0.0,282.8999938964844,0.0,0.0,0.0067659414315668,676.5941431566836,282.8999938964844,676.5941431566836,2.3916371783459827,BUY
CELH,0.0,33.72999954223633,0.0,0.0,0.0067659414315668,676.5941431566836,33.72999954223633,676.5941431566836,20.05912102991463,BUY
CL,0.0,87.26000213623047,0.0,0.0,0.0067659414315668,676.5941431566836,87.26000213623047,676.5941431566836,7.753771792262664,BUY
CME,0.0,289.5400085449219,0.0,0.0,0.0067659414315668,676.5941431566836,289.5400085449219,676.5941431566836,2.3367898155315228,BUY
CMG,0.0,32.97999954223633,0.0,0.0,0.0067659414315668,676.5941431566836,32.97999954223633,676.5941431566836,20.515286614549318,BUY
CRM,0.0,183.82000732421875,0.0,0.0,0.0067659414315668,676.5941431566836,183.82000732421875,676.5941431566836,3.6807426623768857,BUY
BSX,0.0,56.5,0.0,0.0,0.0067659414315668,676.5941431566836,56.5,676.5941431566836,11.9751175779944,BUY
BAC,0.0,53.2400016784668,0.0,0.0,0.0067659414315668,676.5941431566836,53.2400016784668,676.5941431566836,12.708379448273678,BUY
BA,0.0,227.3800048828125,0.0,0.0,0.0067659414315668,676.5941431566836,227.3800048828125,676.5941431566836,2.975609678192187,BUY
AZO,0.0,3594.080078125,0.0,0.0,0.0067659414315668,676.5941431566836,3594.080078125,676.5941431566836,0.18825238404528172,BUY
SEDG,0.0,42.90999984741211,0.0,0.0,0.0061783498337928,617.8349833792878,42.90999984741211,617.8349833792878,14.398391647082452,BUY
AMD,0.0,360.5400085449219,0.0,0.0,0.0056977864414304,569.778644143045,360.5400085449219,569.778644143045,1.5803478965970368,BUY
RUN,0.0,13.0600004196167,0.0,0.0,0.0037509257199506,375.0925719950669,13.0600004196167,375.0925719950669,28.720716687854104,BUY
SPY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOLD
